,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,Ajaccio,21,4.0,1457,1262,195,59,4,214,34,38,18,10,7,1,838,207,412,493,724,78,84,19,1046,4,46,41,48
1,Angers,21,4.0,2087,1895,192,48,7,247,38,43,13,10,1,0,1555,209,323,568,1290,81,78,33,1731,4,27,50,37
2,Auxerre,20,4.0,1641,1470,171,45,3,189,80,37,10,2,6,0,1010,191,440,385,1056,73,68,18,1306,8,24,25,35
3,Brest,21,4.0,1761,1544,217,62,3,183,89,55,21,11,7,1,1134,234,393,345,1190,66,94,24,1394,7,28,43,47
4,Clermont Foot,20,4.0,2112,1946,166,69,2,167,66,36,13,7,2,1,1658,152,302,559,1388,41,50,43,1803,4,25,57,41
5,Lens,16,4.0,2139,1955,184,65,10,181,53,46,21,6,9,2,1619,192,328,585,1358,63,68,24,1818,4,24,54,34
6,Lille,20,4.0,2427,2248,179,51,4,271,41,41,19,8,4,0,1924,211,292,554,1679,67,66,34,2093,6,35,54,45
7,Lorient,17,3.0,1283,1163,120,30,1,166,20,26,11,3,4,0,938,119,226,311,853,33,52,13,1044,5,14,33,19
8,Lyon,20,3.0,2202,2067,135,37,6,229,36,37,16,5,5,0,1797,183,222,757,1289,46,53,28,1917,0,23,56,34
9,Marseille,22,4.0,2043,1856,187,37,3,217,52,53,23,6,10,0,1446,233,364,518,1321,62,77,26,1656,6,31,70,48
10,Monaco,23,4.0,1653,1476,177,58,6,214,43,30,14,5,8,1,1112,189,352,431,1034,63,63,22,1319,6,24,50,34
11,Montpellier,21,4.0,1919,1740,179,55,5,193,46,31,14,6,5,1,1412,182,325,574,1158,43,72,38,1620,6,23,53,37
12,Nantes,17,4.0,1594,1383,211,53,1,169,61,56,19,3,13,1,951,181,462,523,833,62,97,27,1194,5,45,40,37
13,Nice,21,4.0,2258,2060,198,43,0,268,52,40,23,12,6,0,1712,212,334,761,1281,50,94,28,1887,6,27,65,54
14,Paris S-G,19,4.0,2704,2553,151,56,10,233,47,35,25,12,5,0,2247,222,235,860,1705,40,43,36,2434,12,11,66,48
15,Reims,19,4.0,1374,1196,178,45,3,165,33,31,14,5,6,2,876,191,307,395,787,65,73,17,1017,4,32,49,31
16,Rennes,21,4.0,2431,2256,175,40,3,241,65,47,19,10,7,0,1802,261,368,650,1506,98,80,28,2049,5,33,57,43
17,Strasbourg,20,4.0,2276,2104,172,56,7,319,70,57,16,2,13,0,1513,280,483,660,1328,110,67,42,1838,3,41,63,37
18,Toulouse,20,4.0,2063,1884,179,49,6,220,84,52,20,4,12,3,1418,249,396,484,1357,63,70,43,1686,6,41,59,45
19,Troyes,19,4.0,1657,1482,175,56,3,172,60,47,25,12,4,5,1183,171,303,542,962,51,51,24,1327,7,25,40,32
