,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Ajaccio,21,4.0,1906,2273,83.9,36443,11280,743,838,88.7,878,985,89.1,241,359,67.1,4,2.2,1.8,28,122,33,7,146
1,vs Angers,21,4.0,1511,1881,80.3,29766,10194,654,720,90.8,588,691,85.1,233,384,60.7,6,3.9,2.1,46,121,29,6,129
2,vs Auxerre,20,4.0,2112,2485,85.0,39118,11846,907,1003,90.4,898,994,90.3,256,389,65.8,7,5.4,1.6,46,191,51,11,200
3,vs Brest,21,4.0,1620,1958,82.7,31968,10314,599,675,88.7,765,848,90.2,242,378,64.0,10,4.3,5.7,29,105,23,9,133
4,vs Clermont Foot,20,4.0,1771,2074,85.4,31900,10109,810,878,92.3,743,836,88.9,189,287,65.9,6,5.5,0.5,41,121,33,4,139
5,vs Lens,16,4.0,1286,1625,79.1,25662,8341,502,584,86.0,578,657,88.0,193,331,58.3,2,2.4,-0.4,31,92,24,5,109
6,vs Lille,20,4.0,1408,1766,79.7,26462,9039,607,691,87.8,540,636,84.9,206,346,59.5,8,5.5,2.5,41,89,31,9,117
7,vs Lorient,17,3.0,1544,1820,84.8,30123,8627,600,683,87.8,716,788,90.9,207,293,70.6,1,2.3,-1.3,32,130,35,10,145
8,vs Lyon,20,3.0,735,995,73.9,13561,5265,345,395,87.3,280,359,78.0,96,210,45.7,1,0.9,0.1,12,52,12,1,58
9,vs Marseille,22,4.0,1383,1788,77.3,27969,9499,566,645,87.8,573,688,83.3,228,385,59.2,0,4.6,-4.6,49,102,31,11,124
10,vs Monaco,23,4.0,2126,2467,86.2,39682,12476,952,1048,90.8,886,989,89.6,270,383,70.5,4,5.0,-1.0,52,121,50,11,160
11,vs Montpellier,21,4.0,1509,1796,84.0,29442,10067,655,730,89.7,606,681,89.0,230,334,68.9,3,2.3,0.7,31,124,31,8,130
12,vs Nantes,17,4.0,1666,2069,80.5,30706,12002,717,837,85.7,712,808,88.1,191,326,58.6,2,3.7,-1.7,45,125,49,9,172
13,vs Nice,21,4.0,1678,2014,83.3,32981,10717,675,750,90.0,745,840,88.7,237,366,64.8,4,3.4,0.6,28,112,33,9,137
14,vs Paris S-G,19,4.0,1591,1851,86.0,27821,8718,776,838,92.6,602,651,92.5,171,279,61.3,2,2.1,-0.1,23,79,18,4,83
15,vs Reims,19,4.0,1936,2343,82.6,37026,12210,799,891,89.7,834,950,87.8,257,406,63.3,7,3.5,3.5,35,153,40,9,145
16,vs Rennes,21,4.0,1357,1740,78.0,26497,8652,561,626,89.6,568,685,82.9,210,380,55.3,3,2.6,0.4,35,83,25,5,101
17,vs Strasbourg,20,4.0,1484,1874,79.2,29116,9518,621,700,88.7,593,695,85.3,241,417,57.8,3,4.9,-1.9,38,104,32,8,123
18,vs Toulouse,20,4.0,1477,1825,80.9,27703,9297,630,693,90.9,647,747,86.6,179,325,55.1,4,3.4,0.6,40,98,28,11,107
19,vs Troyes,19,4.0,2079,2437,85.3,38459,11586,868,959,90.5,951,1046,90.9,228,356,64.0,6,3.5,2.5,33,144,39,3,167
