,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Ajaccio,21,25.9,4,360,90,100,4.0,44,80,23,20,19,18,2.5,,,,,4.9,4.3,0.6,0.15
1,vs Angers,21,27.5,4,360,90,100,4.0,44,77,24,18,25,18,2.0,,,,,5.5,5.0,0.5,0.12
2,vs Auxerre,20,27.4,4,360,90,100,4.0,44,82,29,13,21,15,1.0,,,,,5.8,4.0,1.8,0.45
3,vs Brest,21,26.6,4,360,90,100,4.0,44,80,25,18,21,16,1.75,,,,,6.9,5.4,1.5,0.38
4,vs Clermont Foot,20,26.1,4,360,90,100,4.0,44,82,25,18,17,18,1.5,,,,,9.9,3.1,6.7,1.68
5,vs Lens,16,26.2,4,360,90,100,4.0,44,85,25,19,12,18,0.25,,,,,4.2,8.0,-3.8,-0.96
6,vs Lille,20,28.1,4,360,90,100,4.0,44,83,28,16,20,21,1.0,,,,,6.9,7.0,-0.1,-0.02
7,vs Lorient,17,26.9,3,270,90,100,3.0,33,85,21,12,13,14,0.33,,,,,4.3,6.2,-1.9,-0.65
8,vs Lyon,20,27.1,3,270,90,100,3.0,33,80,19,13,21,14,0.33,,,,,2.7,5.5,-2.8,-0.93
9,vs Marseille,22,26.2,4,360,90,100,4.0,44,80,24,20,22,18,0.25,,,,,5.9,4.9,0.9,0.23
10,vs Monaco,23,27.1,4,360,90,100,4.0,44,79,28,15,26,18,1.25,,,,,8.6,7.1,1.4,0.36
11,vs Montpellier,21,27.6,4,360,90,100,4.0,44,81,22,20,18,17,1.5,,,,,6.8,5.5,1.3,0.33
12,vs Nantes,17,26.7,4,360,90,100,4.0,44,83,28,16,20,20,1.25,,,,,5.7,6.1,-0.3,-0.08
13,vs Nice,21,27.6,4,360,90,100,4.0,44,78,23,19,26,18,2.0,,,,,4.0,4.7,-0.7,-0.17
14,vs Paris S-G,19,26.6,4,360,90,100,4.0,44,85,26,18,13,19,0.25,,,,,3.2,12.5,-9.3,-2.32
15,vs Reims,19,27.3,4,360,90,100,4.0,44,80,27,15,24,16,2.0,,,,,5.8,6.3,-0.5,-0.12
16,vs Rennes,21,26.3,4,360,90,100,4.0,44,82,26,18,20,19,1.75,,,,,5.5,5.9,-0.4,-0.11
17,vs Strasbourg,20,26.3,4,360,90,100,4.0,44,82,25,19,20,21,2.0,,,,,7.8,5.1,2.8,0.69
18,vs Toulouse,20,26.0,4,360,90,100,4.0,44,83,28,16,19,17,1.25,,,,,6.1,4.9,1.2,0.31
19,vs Troyes,19,26.2,4,360,90,100,4.0,44,82,28,16,21,17,2.25,,,,,6.4,5.3,1.1,0.27
