,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Ajaccio,21,29.0,4,360,90,100,4.0,44,80,23,20,19,16,0.25,3,7,-4,-1.0,4.3,4.9,-0.6,-0.15
1,Angers,21,26.9,4,360,90,100,4.0,44,77,24,18,25,18,0.5,4,8,-4,-1.0,5.0,5.5,-0.5,-0.12
2,Auxerre,20,29.2,4,360,90,100,4.0,44,82,29,13,21,23,1.75,6,7,-1,-0.25,4.0,5.8,-1.8,-0.45
3,Brest,21,26.7,4,360,90,100,4.0,44,80,25,18,21,16,1.0,6,12,-6,-1.5,5.4,6.9,-1.5,-0.38
4,Clermont Foot,20,28.0,4,360,90,100,4.0,44,82,25,18,17,18,1.5,6,9,-3,-0.75,3.1,9.9,-6.7,-1.68
5,Lens,16,26.2,4,360,90,100,4.0,44,85,25,19,12,17,2.5,9,4,5,1.25,8.0,4.2,3.8,0.96
6,Lille,20,27.0,4,360,90,100,4.0,44,83,28,16,20,20,1.75,9,10,-1,-0.25,7.0,6.9,0.1,0.02
7,Lorient,17,25.6,3,270,90,100,3.0,33,85,21,12,13,15,2.33,5,3,2,0.67,6.2,4.3,1.9,0.65
8,Lyon,20,26.2,3,270,90,100,3.0,33,80,19,13,21,13,2.33,7,3,4,1.33,5.5,2.7,2.8,0.93
9,Marseille,22,27.3,4,360,90,100,4.0,44,80,24,20,22,16,2.5,10,3,7,1.75,4.9,5.9,-0.9,-0.23
10,Monaco,23,25.1,4,360,90,100,4.0,44,79,28,15,26,21,1.25,5,7,-2,-0.5,7.1,8.6,-1.4,-0.36
11,Montpellier,21,25.9,4,360,90,100,4.0,44,81,22,20,18,16,1.5,13,9,4,1.0,5.5,6.8,-1.3,-0.33
12,Nantes,17,26.8,4,360,90,100,4.0,44,83,28,16,20,20,1.25,5,4,1,0.25,6.1,5.7,0.3,0.08
13,Nice,21,26.3,4,360,90,100,4.0,44,78,23,19,26,17,0.5,2,6,-4,-1.0,4.7,4.0,0.7,0.17
14,Paris S-G,19,27.6,4,360,90,100,4.0,44,85,26,18,13,18,2.5,18,4,14,3.5,12.5,3.2,9.3,2.32
15,Reims,19,24.6,4,360,90,100,4.0,44,80,27,15,24,21,0.5,5,10,-5,-1.25,6.3,5.8,0.5,0.12
16,Rennes,21,25.4,4,360,90,100,4.0,44,82,26,18,20,17,1.0,4,5,-1,-0.25,5.9,5.5,0.4,0.11
17,Strasbourg,20,28.9,4,360,90,100,4.0,44,82,25,19,20,14,0.5,3,5,-2,-0.5,5.1,7.8,-2.8,-0.69
18,Toulouse,20,25.6,4,360,90,100,4.0,44,83,28,16,19,20,1.25,7,6,1,0.25,4.9,6.1,-1.2,-0.31
19,Troyes,19,26.8,4,360,90,100,4.0,44,82,28,16,21,16,0.75,6,11,-5,-1.25,5.3,6.4,-1.1,-0.27
