,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,Ajaccio,21,39.0,4.0,1853,198,640,873,442,69,1661,32,52,61.5,34,3,1043,5768,3013,101,28,11,47,39,1300,1046,80.5,86
1,Angers,21,53.0,4.0,2527,261,793,1296,605,85,2339,42,89,47.2,50,5,1677,8354,4509,176,48,13,53,46,1932,1731,89.6,160
2,Auxerre,20,39.3,4.0,2063,294,823,919,433,61,1894,26,46,56.5,30,4,1216,5883,2958,119,37,14,40,34,1511,1306,86.4,86
3,Brest,21,46.8,4.0,2183,178,663,1053,603,76,1978,28,53,52.8,30,6,1390,6949,3620,136,42,13,57,43,1591,1394,87.6,114
4,Clermont Foot,20,51.5,4.0,2532,279,918,1250,512,69,2371,33,63,52.4,34,2,1786,8007,4193,146,35,11,49,36,1985,1803,90.8,112
5,Lens,16,58.0,4.0,2525,232,836,1366,496,99,2346,25,36,69.4,27,3,1664,8743,4845,186,47,15,41,38,2044,1818,88.9,152
6,Lille,20,59.0,4.0,2864,302,938,1458,658,116,2687,41,71,57.7,43,5,1881,9172,5162,225,56,24,33,41,2291,2093,91.4,151
7,Lorient,17,41.0,3.0,1661,235,711,709,338,72,1538,35,59,59.3,37,0,1101,5246,3070,109,28,21,32,37,1139,1044,91.7,71
8,Lyon,20,69.3,3.0,2504,164,625,1394,659,105,2373,25,54,46.3,29,1,1783,9270,4828,211,56,21,36,38,2131,1917,90.0,129
9,Marseille,22,54.5,4.0,2533,256,824,1199,651,118,2353,28,48,58.3,30,2,1550,7598,4079,174,41,33,52,47,1904,1656,87.0,150
10,Monaco,23,40.0,4.0,2091,232,607,1063,551,94,1918,28,56,50.0,28,7,1262,6870,3698,156,46,16,41,36,1542,1319,85.5,142
11,Montpellier,21,51.8,4.0,2332,251,821,1200,447,83,2161,36,60,60.0,41,6,1506,7171,4099,129,35,14,51,40,1806,1620,89.7,122
12,Nantes,17,43.8,4.0,2098,289,734,968,542,88,1892,32,67,47.8,35,2,1165,6310,3653,145,54,14,47,44,1383,1194,86.3,106
13,Nice,21,52.0,4.0,2670,249,863,1342,664,81,2477,37,64,57.8,43,1,1879,9940,5273,185,79,10,38,53,2059,1887,91.6,131
14,Paris S-G,19,59.8,4.0,3078,230,841,1519,916,162,2937,52,85,61.2,54,7,2422,10260,6015,262,80,28,40,45,2637,2434,92.3,193
15,Reims,19,37.3,4.0,1852,281,722,841,406,80,1676,26,58,44.8,31,4,1010,6007,3714,132,42,20,45,48,1279,1017,79.5,106
16,Rennes,21,58.8,4.0,2888,228,797,1494,777,137,2718,41,67,61.2,44,5,1905,9220,5112,238,65,21,40,43,2279,2049,89.9,194
17,Strasbourg,20,55.3,4.0,2705,305,921,1294,656,101,2539,24,44,54.5,27,0,1661,8519,4774,184,46,14,43,49,2082,1838,88.3,160
18,Toulouse,20,54.0,4.0,2489,273,874,1146,624,102,2316,22,50,44.0,23,1,1677,8409,4879,185,48,20,41,52,1967,1686,85.7,153
19,Troyes,19,40.3,4.0,2098,257,781,992,459,76,1929,43,80,53.8,44,4,1394,7536,4374,176,49,18,31,42,1516,1327,87.5,107
