,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Ajaccio,21,4.0,7,44,19,43.2,11.0,4.75,0.14,0.32,18.7,3,1,2,4.9,3.3,0.08,2.1,2.7
1,vs Angers,21,4.0,7,64,25,39.1,16.0,6.25,0.11,0.28,18.4,2,0,0,5.5,5.5,0.09,1.5,1.5
2,vs Auxerre,20,4.0,7,56,19,33.9,14.0,4.75,0.13,0.37,16.6,2,0,0,5.8,5.8,0.1,1.2,1.2
3,vs Brest,21,4.0,12,42,21,50.0,10.5,5.25,0.29,0.57,13.9,3,0,1,6.9,6.1,0.15,5.1,5.9
4,vs Clermont Foot,20,4.0,9,59,27,45.8,14.75,6.75,0.1,0.22,15.6,2,3,3,9.9,7.5,0.13,-0.9,-1.5
5,vs Lens,16,4.0,4,38,16,42.1,9.5,4.0,0.08,0.19,18.1,0,1,1,4.2,3.4,0.09,-0.2,-0.4
6,vs Lille,20,4.0,10,50,14,28.0,12.5,3.5,0.2,0.71,14.9,1,0,0,6.9,6.9,0.14,3.1,3.1
7,vs Lorient,17,3.0,3,46,15,32.6,15.33,5.0,0.07,0.2,14.8,1,0,0,4.3,4.3,0.1,-1.3,-1.3
8,vs Lyon,20,3.0,3,18,8,44.4,6.0,2.67,0.06,0.13,19.2,1,2,2,2.7,1.2,0.07,0.3,-0.2
9,vs Marseille,22,4.0,3,60,15,25.0,15.0,3.75,0.03,0.13,18.2,1,1,1,5.9,5.1,0.08,-2.9,-3.1
10,vs Monaco,23,4.0,7,65,24,36.9,16.25,6.0,0.08,0.21,17.0,1,2,2,8.6,7.0,0.11,-1.6,-2.0
11,vs Montpellier,21,4.0,8,45,18,40.0,11.25,4.5,0.11,0.28,19.0,4,3,4,6.8,3.7,0.08,1.2,1.3
12,vs Nantes,17,4.0,3,58,19,32.8,14.5,4.75,0.05,0.16,14.6,1,0,0,5.7,5.7,0.11,-2.7,-2.7
13,vs Nice,21,4.0,6,35,13,37.1,8.75,3.25,0.17,0.46,15.8,0,0,0,4.0,4.0,0.12,2.0,2.0
14,vs Paris S-G,19,4.0,4,33,16,48.5,8.25,4.0,0.12,0.25,21.8,2,0,0,3.2,3.2,0.11,0.8,0.8
15,vs Reims,19,4.0,9,54,17,31.5,13.5,4.25,0.15,0.47,16.7,2,1,1,5.8,5.0,0.09,3.2,3.0
16,vs Rennes,21,4.0,4,45,11,24.4,11.25,2.75,0.09,0.36,19.0,1,0,2,5.5,3.9,0.09,-1.5,0.1
17,vs Strasbourg,20,4.0,5,56,22,39.3,14.0,5.5,0.07,0.18,16.9,3,1,1,7.8,7.0,0.13,-2.8,-3.0
18,vs Toulouse,20,4.0,6,51,14,27.5,12.75,3.5,0.1,0.36,15.5,3,1,2,6.1,4.6,0.09,-0.1,0.4
19,vs Troyes,19,4.0,10,50,20,40.0,12.5,5.0,0.2,0.5,16.9,1,0,0,6.4,6.4,0.13,3.6,3.6
