,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Ajaccio,21,4.0,3,39,9,23.1,9.75,2.25,0.05,0.22,17.0,0,1,2,4.3,2.7,0.07,-1.3,-0.7
1,Angers,21,4.0,4,42,15,35.7,10.5,3.75,0.1,0.27,16.4,4,0,0,5.0,5.0,0.13,-1.0,-1.0
2,Auxerre,20,4.0,5,34,10,29.4,8.5,2.5,0.12,0.4,21.5,1,1,1,4.0,3.2,0.1,1.0,0.8
3,Brest,21,4.0,6,41,15,36.6,10.25,3.75,0.12,0.33,14.9,1,1,1,5.4,4.6,0.11,0.6,0.4
4,Clermont Foot,20,4.0,6,32,9,28.1,8.0,2.25,0.16,0.56,18.2,1,1,1,3.1,2.4,0.07,2.9,2.6
5,Lens,16,4.0,9,57,18,31.6,14.25,4.5,0.14,0.44,16.4,2,1,2,8.0,6.5,0.11,1.0,1.5
6,Lille,20,4.0,9,54,23,42.6,13.5,5.75,0.17,0.39,15.7,2,0,1,7.0,6.2,0.12,2.0,2.8
7,Lorient,17,3.0,4,41,12,29.3,13.67,4.0,0.05,0.17,19.2,4,2,3,6.2,3.9,0.1,-2.2,-1.9
8,Lyon,20,3.0,7,43,18,41.9,14.33,6.0,0.14,0.33,17.8,1,1,1,5.5,4.7,0.11,1.5,1.3
9,Marseille,22,4.0,8,50,17,34.0,12.5,4.25,0.16,0.47,15.1,0,0,0,4.9,4.9,0.1,3.1,3.1
10,Monaco,23,4.0,5,52,22,42.3,13.0,5.5,0.1,0.23,17.2,2,0,1,7.1,6.3,0.12,-2.1,-1.3
11,Montpellier,21,4.0,13,53,25,47.2,13.25,6.25,0.25,0.52,18.8,0,0,0,5.5,5.5,0.11,7.5,7.5
12,Nantes,17,4.0,5,52,14,26.9,13.0,3.5,0.08,0.29,15.8,1,1,1,6.1,5.3,0.1,-1.1,-1.3
13,Nice,21,4.0,2,52,12,23.1,13.0,3.0,0.02,0.08,18.1,3,1,1,4.7,3.9,0.08,-2.7,-2.9
14,Paris S-G,19,4.0,17,69,33,47.8,17.25,8.25,0.22,0.45,15.1,4,2,3,12.5,10.1,0.15,4.5,4.9
15,Reims,19,4.0,5,43,20,46.5,10.75,5.0,0.07,0.15,17.7,2,2,2,6.3,4.7,0.11,-1.3,-1.7
16,Rennes,21,4.0,4,73,26,35.6,18.25,6.5,0.05,0.15,16.7,1,0,0,5.9,5.9,0.08,-1.9,-1.9
17,Strasbourg,20,4.0,3,46,18,39.1,11.5,4.5,0.07,0.17,16.0,2,0,0,5.1,5.1,0.11,-2.1,-2.1
18,Toulouse,20,4.0,6,41,17,41.5,10.25,4.25,0.15,0.35,14.1,2,0,0,4.9,4.9,0.13,1.1,1.1
19,Troyes,19,4.0,6,55,20,36.4,13.75,5.0,0.07,0.2,19.1,1,2,2,5.3,3.8,0.07,0.7,0.2
