,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Ajaccio,21,29.0,39.0,4,44,360,4.0,3,1,2,1,2,16,1,0.75,0.25,1.0,0.5,0.75,4.3,2.7,1.8,4.5,1.06,0.45,1.52,0.67,1.12
1,Angers,21,26.9,53.0,4,44,360,4.0,4,4,4,0,0,11,2,1.0,1.0,2.0,1.0,2.0,5.0,5.0,3.1,8.1,1.26,0.76,2.02,1.26,2.02
2,Auxerre,20,29.2,39.3,4,44,360,4.0,5,4,4,1,1,9,3,1.25,1.0,2.25,1.0,2.0,4.0,3.2,3.1,6.3,1.0,0.78,1.78,0.81,1.59
3,Brest,21,26.7,46.8,4,44,360,4.0,6,3,5,1,1,5,1,1.5,0.75,2.25,1.25,2.0,5.4,4.6,4.0,8.6,1.34,1.0,2.33,1.14,2.14
4,Clermont Foot,20,28.0,51.5,4,44,360,4.0,6,4,5,1,1,9,1,1.5,1.0,2.5,1.25,2.25,3.1,2.4,1.8,4.1,0.78,0.45,1.23,0.59,1.04
5,Lens,16,26.2,58.0,4,44,360,4.0,9,6,8,1,2,4,0,2.25,1.5,3.75,2.0,3.5,8.0,6.5,5.4,11.8,2.01,1.34,3.34,1.61,2.95
6,Lille,20,27.0,59.0,4,44,360,4.0,9,6,9,0,1,10,0,2.25,1.5,3.75,2.25,3.75,7.0,6.2,5.0,11.2,1.75,1.24,2.99,1.56,2.79
7,Lorient,17,25.6,41.0,3,33,270,3.0,4,1,2,2,3,3,0,1.33,0.33,1.67,0.67,1.0,6.2,3.9,3.2,7.0,2.07,1.05,3.12,1.29,2.34
8,Lyon,20,26.2,69.3,3,33,270,3.0,7,3,6,1,1,2,1,2.33,1.0,3.33,2.0,3.0,5.5,4.7,1.9,6.7,1.84,0.64,2.49,1.58,2.23
9,Marseille,22,27.3,54.5,4,44,360,4.0,8,5,8,0,0,11,1,2.0,1.25,3.25,2.0,3.25,4.9,4.9,3.5,8.4,1.23,0.87,2.11,1.23,2.11
10,Monaco,23,25.1,40.0,4,44,360,4.0,5,3,5,0,1,10,2,1.25,0.75,2.0,1.25,2.0,7.1,6.3,3.9,10.2,1.78,0.96,2.74,1.58,2.55
11,Montpellier,21,25.9,51.8,4,44,360,4.0,13,10,13,0,0,5,2,3.25,2.5,5.75,3.25,5.75,5.5,5.5,4.2,9.7,1.37,1.06,2.43,1.37,2.43
12,Nantes,17,26.8,43.8,4,44,360,4.0,5,4,4,1,1,5,0,1.25,1.0,2.25,1.0,2.0,6.1,5.3,3.2,8.5,1.52,0.81,2.33,1.32,2.13
13,Nice,21,26.3,52.0,4,44,360,4.0,2,1,1,1,1,6,2,0.5,0.25,0.75,0.25,0.5,4.7,3.9,2.6,6.5,1.18,0.65,1.83,0.98,1.64
14,Paris S-G,19,27.6,59.8,4,44,360,4.0,17,12,15,2,3,8,0,4.25,3.0,7.25,3.75,6.75,12.5,10.1,7.7,17.8,3.12,1.92,5.05,2.54,4.46
15,Reims,19,24.6,37.3,4,44,360,4.0,5,2,3,2,2,8,2,1.25,0.5,1.75,0.75,1.25,6.3,4.7,3.4,8.2,1.57,0.86,2.44,1.18,2.04
16,Rennes,21,25.4,58.8,4,44,360,4.0,4,3,4,0,0,12,2,1.0,0.75,1.75,1.0,1.75,5.9,5.9,3.6,9.5,1.48,0.89,2.36,1.48,2.36
17,Strasbourg,20,28.9,55.3,4,44,360,4.0,3,3,3,0,0,6,0,0.75,0.75,1.5,0.75,1.5,5.1,5.1,3.8,8.9,1.27,0.96,2.23,1.27,2.23
18,Toulouse,20,25.6,54.0,4,44,360,4.0,6,4,6,0,0,7,0,1.5,1.0,2.5,1.5,2.5,4.9,4.9,3.5,8.4,1.22,0.88,2.1,1.22,2.1
19,Troyes,19,26.8,40.3,4,44,360,4.0,6,4,4,2,2,5,0,1.5,1.0,2.5,1.0,2.0,5.3,3.8,2.7,6.5,1.34,0.68,2.01,0.94,1.62
