,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Arsenal,27,26.9,38,3420,90,100,38.0,418,85,304,110,17,235,1.11,,,,,47.1,59.9,-12.8,-0.34
1,vs Aston Villa,31,26.7,38,3420,90,100,38.0,418,85,304,113,20,232,1.66,,,,,49.1,44.0,5.1,0.13
2,vs Brentford,29,26.8,38,3420,90,100,38.0,418,84,304,114,22,250,1.61,,,,,49.1,47.8,1.3,0.03
3,vs Brighton,26,26.9,38,3420,90,100,38.0,418,84,308,111,22,231,1.26,,,,,45.6,46.0,-0.4,-0.01
4,vs Burnley,23,26.7,38,3420,90,100,38.0,418,86,321,96,19,245,1.71,,,,,56.7,39.0,17.7,0.47
5,vs Chelsea,26,26.7,38,3420,90,100,38.0,418,84,306,111,22,230,0.76,,,,,36.0,67.2,-31.3,-0.82
6,vs Crystal Palace,24,26.8,38,3420,90,100,38.0,418,85,309,108,18,235,1.34,,,,,41.0,46.4,-5.4,-0.14
7,vs Everton,33,26.8,38,3420,90,100,38.0,418,85,317,97,21,230,1.82,,,,,54.5,42.8,11.7,0.31
8,vs Leeds United,29,26.9,38,3420,90,100,38.0,418,82,312,106,29,228,1.71,,,,,70.1,47.2,23.0,0.6
9,vs Leicester City,28,26.8,38,3420,90,100,38.0,418,84,308,109,23,233,1.37,,,,,61.0,50.8,10.1,0.27
10,vs Liverpool,27,26.7,38,3420,90,100,38.0,418,85,306,111,19,235,0.37,,,,,34.3,89.2,-55.0,-1.45
11,vs Manchester City,26,26.9,38,3420,90,100,38.0,418,86,338,79,20,227,0.39,,,,,27.2,89.0,-61.9,-1.63
12,vs Manchester Utd,29,27.0,38,3420,90,100,38.0,418,85,303,114,20,236,1.21,,,,,54.5,54.8,-0.3,-0.01
13,vs Newcastle Utd,29,26.8,38,3420,90,100,38.0,418,85,309,108,18,233,1.45,,,,,55.4,40.3,15.2,0.4
14,vs Norwich City,28,26.8,38,3420,90,100,38.0,418,84,304,114,21,228,2.24,,,,,77.0,33.3,43.6,1.15
15,vs Southampton,25,26.8,38,3420,90,100,38.0,418,85,307,110,19,233,1.61,,,,,58.6,46.8,11.9,0.31
16,vs Tottenham,25,26.8,38,3420,90,100,38.0,418,85,311,106,18,235,1.0,,,,,39.4,65.1,-25.8,-0.68
17,vs Watford,30,26.8,38,3420,90,100,38.0,418,84,309,106,23,238,2.26,,,,,66.6,38.8,27.8,0.73
18,vs West Ham,25,26.8,38,3420,90,100,38.0,418,86,320,95,17,237,1.32,,,,,51.0,49.9,1.1,0.03
19,vs Wolves,26,26.7,38,3420,90,100,38.0,418,86,310,107,16,226,1.5,,,,,60.3,35.9,24.4,0.64
