,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Arsenal,1,4.0,11,0,0,3,1,9.9,0.44,-1.1,-0.27,26,54,48.1,102,12,35.3,32.1,33,54.5,47.5,24,2,8.3,2,0.5,14.1
1,vs Aston Villa,1,4.0,3,0,0,0,0,3.0,0.23,0.0,0.01,21,45,46.7,77,20,44.2,36.9,33,33.3,30.0,52,3,5.8,3,0.75,16.2
2,vs Bournemouth,1,4.0,2,0,0,1,0,1.8,0.22,-0.2,-0.06,7,23,30.4,73,14,23.3,31.6,11,54.5,48.6,17,2,11.8,3,0.75,17.4
3,vs Brentford,1,4.0,9,0,0,3,0,8.4,0.44,-0.6,-0.15,25,71,35.2,87,19,60.9,48.8,25,72.0,55.9,42,4,9.5,4,1.0,13.1
4,vs Brighton,1,4.0,5,1,0,0,0,5.9,0.37,0.9,0.23,12,54,22.2,95,18,37.9,36.2,32,56.3,49.0,30,4,13.3,2,0.5,17.2
5,vs Chelsea,1,4.0,5,1,0,1,0,5.3,0.32,0.3,0.08,17,51,33.3,91,12,47.3,41.1,25,32.0,33.6,30,2,6.7,7,1.75,20.9
6,vs Crystal Palace,1,4.0,6,0,0,1,1,5.0,0.27,-1.0,-0.25,20,47,42.6,110,13,36.4,36.2,20,35.0,35.4,27,1,3.7,3,0.75,18.3
7,vs Everton,1,4.0,3,0,0,0,1,5.3,0.26,2.3,0.57,18,50,36.0,103,26,39.8,37.7,27,33.3,34.5,23,1,4.3,5,1.25,18.0
8,vs Fulham,2,4.0,6,1,0,1,0,7.1,0.35,1.1,0.27,16,54,29.6,134,19,32.1,35.4,27,40.7,39.1,36,4,11.1,3,0.75,14.1
9,vs Leeds United,1,4.0,7,0,0,1,1,5.4,0.32,-1.6,-0.39,18,54,33.3,102,14,41.2,39.0,29,41.4,37.9,23,2,8.7,4,1.0,15.7
10,vs Leicester City,1,4.0,6,0,1,1,1,2.2,0.17,-3.8,-0.96,25,76,32.9,97,15,51.5,42.8,27,96.3,68.6,28,2,7.1,3,0.75,15.8
11,vs Liverpool,1,4.0,13,0,0,4,1,9.3,0.41,-3.7,-0.93,45,109,41.3,83,15,79.5,52.9,51,84.3,62.5,56,2,3.6,2,0.5,11.6
12,vs Manchester City,1,4.0,13,1,0,3,1,10.4,0.41,-2.6,-0.65,31,70,44.3,91,19,50.5,39.9,40,60.0,45.1,49,5,10.2,2,0.5,10.7
13,vs Manchester Utd,1,4.0,4,0,0,0,1,4.7,0.26,0.7,0.18,35,100,35.0,115,14,64.3,48.4,31,83.9,65.7,23,1,4.3,5,1.25,18.0
14,vs Newcastle Utd,1,4.0,6,0,1,1,0,5.1,0.27,-0.9,-0.22,22,69,31.9,109,30,51.4,43.0,22,59.1,50.4,36,1,2.8,2,0.5,14.7
15,vs Nott'ham Forest,1,4.0,2,0,0,0,0,3.5,0.29,1.5,0.38,26,67,38.8,100,27,52.0,42.4,25,60.0,47.2,27,3,11.1,4,1.0,14.0
16,vs Southampton,1,4.0,5,0,0,0,0,4.0,0.29,-1.0,-0.24,13,38,34.2,80,26,33.8,33.7,33,33.3,34.2,34,0,0.0,2,0.5,12.9
17,vs Tottenham,1,4.0,9,0,0,3,1,8.5,0.36,-0.5,-0.12,16,68,23.5,95,14,55.8,44.2,27,55.6,48.4,25,1,4.0,3,0.75,13.9
18,vs West Ham,2,4.0,1,0,0,0,0,3.2,0.26,2.2,0.55,15,63,23.8,139,22,36.7,39.4,23,52.2,46.3,36,2,5.6,2,0.5,15.0
19,vs Wolves,1,4.0,2,0,0,0,0,1.8,0.13,-0.2,-0.06,13,44,29.5,88,23,37.5,35.2,28,39.3,38.5,29,1,3.4,5,1.25,16.4
