,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Arsenal,1,4.0,3,0,0,0,1,2.1,0.24,-0.9,-0.21,21,53,39.6,93,15,45.2,39.6,19,57.9,54.4,28,2,7.1,2,0.5,17.3
1,Aston Villa,1,4.0,7,0,0,1,1,5.6,0.29,-1.4,-0.36,14,43,32.6,96,16,38.5,36.9,20,30.0,34.0,22,1,4.5,4,1.0,17.9
2,Bournemouth,1,4.0,16,0,0,3,2,12.3,0.48,-3.7,-0.92,29,56,51.8,75,16,50.7,39.3,45,40.0,39.3,48,5,10.4,0,0.0,10.3
3,Brentford,1,4.0,6,0,0,2,0,5.9,0.24,-0.1,-0.01,33,95,34.7,147,21,49.0,42.1,32,71.9,56.9,26,2,7.7,5,1.25,20.4
4,Brighton,1,4.0,1,0,0,0,1,2.6,0.26,1.6,0.4,25,85,29.4,100,9,63.0,53.3,26,84.6,67.4,30,3,10.0,2,0.5,14.4
5,Chelsea,1,4.0,6,0,0,1,0,4.9,0.26,-1.1,-0.28,16,44,36.4,78,14,32.1,32.1,30,63.3,46.6,30,1,3.3,1,0.25,12.8
6,Crystal Palace,1,4.0,8,0,0,3,1,6.5,0.4,-1.5,-0.38,35,63,55.6,101,22,42.6,34.3,37,54.1,41.5,51,3,5.9,2,0.5,10.9
7,Everton,1,4.0,5,1,0,1,0,6.4,0.33,1.4,0.34,34,89,38.2,109,20,61.5,48.0,32,68.8,55.2,42,3,7.1,10,2.5,18.6
8,Fulham,2,4.0,6,0,0,2,0,6.4,0.38,0.4,0.11,29,77,37.7,82,7,70.7,51.3,32,59.4,50.4,41,1,2.4,3,0.75,12.4
9,Leeds United,1,4.0,4,0,0,0,0,3.2,0.19,-0.8,-0.19,6,52,11.5,94,20,41.5,37.6,35,37.1,37.3,24,2,8.3,4,1.0,15.1
10,Leicester City,1,4.0,10,0,0,1,0,7.2,0.45,-2.8,-0.71,14,44,31.8,95,23,31.6,33.8,22,63.6,51.9,19,2,10.5,4,1.0,17.1
11,Liverpool,1,4.0,5,1,0,0,0,5.2,0.36,0.2,0.05,12,25,48.0,117,21,17.1,28.0,17,29.4,29.9,18,1,5.6,6,1.5,18.6
12,Manchester City,1,4.0,5,0,1,1,1,3.9,0.43,-1.1,-0.28,11,21,52.4,105,22,19.0,28.7,12,8.3,22.4,21,0,0.0,1,0.25,15.5
13,Manchester Utd,1,4.0,7,0,0,2,0,6.7,0.34,-0.3,-0.08,18,63,28.6,74,14,47.3,40.4,38,73.7,55.5,41,1,2.4,2,0.5,12.6
14,Newcastle Utd,1,4.0,4,0,0,1,0,5.8,0.29,1.8,0.44,19,53,35.8,83,27,47.0,39.2,18,77.8,60.2,36,3,8.3,7,1.75,17.2
15,Nott'ham Forest,1,4.0,5,0,0,1,0,8.9,0.3,3.9,0.98,24,102,23.5,127,29,60.6,47.2,42,59.5,50.0,35,1,2.9,7,1.75,16.4
16,Southampton,1,4.0,8,0,1,2,1,5.6,0.33,-2.4,-0.59,25,91,27.5,113,14,65.5,51.6,19,89.5,65.5,27,2,7.4,4,1.0,14.2
17,Tottenham,1,4.0,3,0,0,1,0,1.9,0.21,-1.1,-0.27,17,40,42.5,89,18,32.6,33.4,36,30.6,30.7,37,2,5.4,1,0.25,13.7
18,West Ham,2,4.0,5,2,0,0,0,5.2,0.31,0.2,0.04,28,66,42.4,92,24,52.2,40.9,30,60.0,43.9,34,4,11.8,0,0.0,12.2
19,Wolves,1,4.0,4,0,0,1,1,3.5,0.18,-0.5,-0.12,11,45,24.4,101,20,36.6,35.9,27,29.6,33.0,37,4,10.8,1,0.25,13.6
