,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Arsenal,18,4.0,76,40,34,29,13,21,76,27.6,55,680,172,25.3,259,296,125,75,25,0,50,49,125,88,2
1,vs Aston Villa,18,4.0,74,43,45,23,6,26,51,51.0,25,552,168,30.4,201,225,126,53,16,0,37,54,128,116,0
2,vs Bournemouth,20,4.0,52,33,14,27,11,18,43,41.9,25,435,166,38.2,96,193,146,54,7,0,47,48,100,46,1
3,vs Brentford,21,4.0,53,38,32,13,8,10,28,35.7,18,477,147,30.8,178,173,126,53,14,0,39,59,112,104,3
4,vs Brighton,18,4.0,56,30,35,17,4,13,34,38.2,21,459,143,31.2,165,182,112,55,15,0,40,61,117,80,1
5,vs Chelsea,19,4.0,87,48,50,27,10,31,79,39.2,48,560,145,25.9,202,244,114,73,21,0,52,52,139,115,0
6,vs Crystal Palace,18,4.0,83,59,37,36,10,29,66,43.9,37,554,204,36.8,147,263,144,57,9,0,48,40,123,52,0
7,vs Everton,19,4.0,78,46,30,39,9,20,59,33.9,39,446,132,29.6,141,207,98,58,20,0,38,36,114,95,1
8,vs Fulham,20,4.0,66,41,29,22,15,21,49,42.9,28,418,173,41.4,112,191,115,54,12,0,42,57,123,49,2
9,vs Leeds United,18,4.0,65,36,28,21,16,18,49,36.7,31,519,153,29.5,151,244,124,60,16,0,44,70,135,62,1
10,vs Leicester City,17,4.0,64,41,35,22,7,20,44,45.5,24,479,150,31.3,132,204,143,59,11,1,48,50,114,84,0
11,vs Liverpool,20,4.0,94,46,58,25,11,30,66,45.5,36,568,169,29.8,241,234,93,70,20,1,50,78,172,113,0
12,vs Manchester City,19,4.0,43,24,28,11,4,19,55,34.5,36,530,78,14.7,226,223,81,60,20,0,40,63,106,87,1
13,vs Manchester Utd,20,4.0,51,34,26,20,5,13,48,27.1,35,476,161,33.8,143,213,120,65,19,1,46,70,121,74,0
14,vs Newcastle Utd,19,4.0,74,50,38,25,11,29,59,49.2,30,428,136,31.8,168,175,85,59,24,1,35,63,137,119,1
15,vs Nott'ham Forest,21,4.0,60,40,26,21,13,21,48,43.8,27,459,156,34.0,142,181,136,50,15,0,35,68,128,98,0
16,vs Southampton,21,4.0,74,38,28,38,8,28,75,37.3,47,521,153,29.4,166,230,125,59,14,0,45,46,120,122,1
17,vs Tottenham,19,4.0,81,46,33,32,16,26,58,44.8,32,480,152,31.7,130,211,139,66,14,0,52,51,132,71,0
18,vs West Ham,19,4.0,45,26,20,18,7,10,27,37.0,17,392,128,32.7,118,164,110,74,21,0,53,44,89,75,0
19,vs Wolves,18,4.0,73,45,39,25,9,38,85,44.7,47,608,176,28.9,184,257,167,75,19,0,56,56,129,78,1
