,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,18,4.0,65,47,27,24,14,21,51,41.2,30,436,158,36.2,95,201,140,60,9,1,51,63,128,59,2
1,Aston Villa,18,4.0,74,47,32,35,7,22,54,40.7,32,526,190,36.1,182,232,112,71,18,0,53,48,122,60,0
2,Bournemouth,20,4.0,73,38,44,23,6,34,75,45.3,41,590,153,25.9,231,263,96,64,15,0,49,42,115,97,0
3,Brentford,21,4.0,51,28,28,17,6,17,45,37.8,28,477,123,25.8,125,225,127,54,17,0,37,54,105,63,1
4,Brighton,18,4.0,58,36,28,19,11,15,41,36.6,26,500,152,30.4,135,234,131,67,20,0,47,64,122,95,0
5,Chelsea,19,4.0,87,53,30,38,19,24,55,43.6,31,508,171,33.7,147,205,156,71,15,0,56,47,134,70,1
6,Crystal Palace,18,4.0,74,40,47,18,9,16,42,38.1,26,622,137,22.0,242,257,123,68,23,0,45,53,127,88,0
7,Everton,19,4.0,79,50,45,28,6,20,55,36.4,35,522,182,34.9,221,202,99,56,20,0,36,56,135,123,0
8,Fulham,20,4.0,78,44,39,27,12,25,64,39.1,39,630,193,30.6,240,254,136,75,20,1,55,93,171,103,3
9,Leeds United,18,4.0,84,47,43,32,9,38,98,38.8,60,608,177,29.1,186,267,155,75,14,0,61,58,142,87,0
10,Leicester City,17,4.0,59,35,25,27,7,15,40,37.5,25,440,131,29.8,146,192,102,53,12,0,41,38,97,93,2
11,Liverpool,20,4.0,69,42,21,37,11,26,64,40.6,38,464,200,43.1,121,201,142,55,9,0,46,46,115,43,0
12,Manchester City,19,4.0,37,28,14,14,9,15,32,46.9,17,343,123,35.9,62,152,129,40,10,0,30,36,73,46,0
13,Manchester Utd,20,4.0,62,35,40,16,6,18,57,31.6,39,437,132,30.2,192,158,87,60,16,0,44,51,113,119,2
14,Newcastle Utd,19,4.0,65,35,29,21,15,22,45,48.9,23,505,147,29.1,138,211,156,57,18,0,39,61,126,90,1
15,Nott'ham Forest,21,4.0,73,45,30,31,12,18,46,39.1,28,445,109,24.5,153,191,101,70,23,1,47,41,114,114,1
16,Southampton,21,4.0,75,48,36,30,9,19,53,35.8,34,494,192,38.9,155,233,106,57,13,1,44,70,145,83,0
17,Tottenham,19,4.0,72,41,38,26,8,34,80,42.5,46,580,139,24.0,197,247,136,64,28,0,36,75,147,114,1
18,West Ham,19,4.0,44,27,25,11,8,15,41,36.6,26,480,116,24.2,171,194,115,51,13,0,38,59,103,87,0
19,Wolves,18,4.0,70,38,44,17,9,27,61,44.3,34,434,137,31.6,163,191,80,61,19,0,42,60,130,94,1
