,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Arsenal,18,4.0,50,12.5,31,5,5,5,2,2,3,0.75,2,0,0,0,0,1
1,vs Aston Villa,18,4.0,69,17.25,50,5,4,6,3,1,9,2.25,7,0,0,2,0,0
2,vs Bournemouth,20,4.0,101,25.25,69,13,7,9,1,2,24,6.0,19,2,0,3,0,0
3,vs Brentford,21,4.0,89,22.25,66,8,2,6,4,3,9,2.25,5,2,0,2,0,0
4,vs Brighton,18,4.0,72,18.0,52,8,1,8,3,0,0,0.0,0,0,0,0,0,0
5,vs Chelsea,19,4.0,74,18.5,55,8,2,5,3,1,10,2.5,4,2,0,2,1,1
6,vs Crystal Palace,18,4.0,113,28.25,88,7,11,5,2,0,13,3.25,10,1,1,1,0,0
7,vs Everton,19,4.0,87,21.75,62,11,1,6,5,2,8,2.0,4,0,1,2,1,0
8,vs Fulham,20,4.0,73,18.25,57,7,6,0,2,1,11,2.75,9,2,0,0,0,0
9,vs Leeds United,18,4.0,90,22.5,61,10,14,2,3,0,8,2.0,6,0,2,0,0,0
10,vs Leicester City,17,4.0,72,18.0,53,10,1,4,3,1,17,4.25,15,1,0,1,0,0
11,vs Liverpool,20,4.0,59,14.75,38,5,7,3,5,1,10,2.5,6,0,3,0,1,0
12,vs Manchester City,19,4.0,37,9.25,27,3,3,1,1,2,5,1.25,2,1,1,0,1,0
13,vs Manchester Utd,20,4.0,91,22.75,60,12,7,8,2,2,10,2.5,6,1,0,2,0,1
14,vs Newcastle Utd,19,4.0,81,20.25,63,3,6,3,3,3,8,2.0,8,0,0,0,0,0
15,vs Nott'ham Forest,21,4.0,128,32.0,100,5,7,8,6,2,7,1.75,7,0,0,0,0,0
16,vs Southampton,21,4.0,74,18.5,55,6,2,7,2,2,11,2.75,9,0,0,1,1,0
17,vs Tottenham,19,4.0,92,23.0,68,6,5,8,4,1,6,1.5,3,1,1,1,0,0
18,vs West Ham,19,4.0,75,18.75,58,4,3,3,6,1,9,2.25,5,0,0,1,3,0
19,vs Wolves,18,4.0,78,19.5,51,12,4,6,4,1,2,0.5,1,1,0,0,0,0
