,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Arsenal,18,4.0,105,26.25,75,9,9,7,3,2,16,4.0,13,2,0,1,0,0
1,Aston Villa,18,4.0,74,18.5,58,5,5,3,2,1,6,1.5,5,0,1,0,0,0
2,Bournemouth,20,4.0,31,7.75,21,4,2,1,3,0,2,0.5,1,0,0,1,0,0
3,Brentford,21,4.0,70,17.5,48,10,3,5,1,3,14,3.5,9,2,0,2,0,1
4,Brighton,18,4.0,85,21.25,66,8,4,3,3,1,9,2.25,6,0,0,1,2,0
5,Chelsea,19,4.0,81,20.25,59,9,5,3,5,0,10,2.5,7,1,0,1,1,0
6,Crystal Palace,18,4.0,57,14.25,37,6,7,5,1,1,8,2.0,5,1,1,1,0,0
7,Everton,19,4.0,84,21.0,64,4,4,7,2,3,4,1.0,4,0,0,0,0,0
8,Fulham,20,4.0,74,18.5,42,11,2,9,6,4,10,2.5,5,1,0,2,1,1
9,Leeds United,18,4.0,67,16.75,44,11,2,4,5,1,6,1.5,1,1,0,2,1,1
10,Leicester City,17,4.0,64,16.0,55,2,2,2,2,1,8,2.0,6,1,0,0,1,0
11,Liverpool,20,4.0,112,28.0,85,12,9,6,0,0,20,5.0,14,2,1,3,0,0
12,Manchester City,19,4.0,126,31.5,96,10,7,8,4,1,23,5.75,21,0,0,1,1,0
13,Manchester Utd,20,4.0,92,23.0,69,5,5,9,4,0,6,1.5,4,0,2,0,0,0
14,Newcastle Utd,19,4.0,98,24.5,71,8,8,4,4,3,6,1.5,4,0,1,0,1,0
15,Nott'ham Forest,21,4.0,68,17.0,45,5,5,6,4,3,2,0.5,0,0,0,2,0,0
16,Southampton,21,4.0,75,18.75,50,10,8,2,5,0,10,2.5,6,1,3,0,0,0
17,Tottenham,19,4.0,90,22.5,71,8,3,5,1,2,14,3.5,11,2,0,1,0,0
18,West Ham,19,4.0,73,18.25,51,6,2,9,5,0,2,0.5,2,0,0,0,0,0
19,Wolves,18,4.0,79,19.75,57,5,6,5,4,2,4,1.0,4,0,0,0,0,0
