,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Arsenal,1,4,4,360,4.0,11,2.75,23,13,52.2,0,0,4,0,0.0,0,0,0,0,
1,vs Aston Villa,1,4,4,360,4.0,3,0.75,13,10,76.9,3,0,1,2,50.0,0,0,0,0,
2,vs Bournemouth,1,4,4,360,4.0,2,0.5,8,6,75.0,3,0,1,3,75.0,0,0,0,0,
3,vs Brentford,1,4,4,360,4.0,9,2.25,19,10,52.6,1,2,1,0,0.0,0,0,0,0,
4,vs Brighton,1,4,4,360,4.0,5,1.25,14,10,71.4,0,1,3,1,25.0,1,1,0,0,0.0
5,vs Chelsea,1,4,4,360,4.0,5,1.25,14,10,71.4,1,1,2,1,25.0,1,1,0,0,0.0
6,vs Crystal Palace,1,4,4,360,4.0,6,1.5,15,10,60.0,2,1,1,1,25.0,1,0,1,0,100.0
7,vs Everton,1,4,4,360,4.0,3,0.75,22,20,86.4,2,2,0,1,25.0,0,0,0,0,
8,vs Fulham,2,4,4,360,4.0,6,1.5,15,10,66.7,1,2,1,1,25.0,2,1,1,0,50.0
9,vs Leeds United,1,4,4,360,4.0,7,1.75,17,11,58.8,1,1,2,1,25.0,0,0,0,0,
10,vs Leicester City,1,4,4,360,4.0,6,1.5,13,8,53.8,3,1,0,0,0.0,0,0,0,0,
11,vs Liverpool,1,4,4,360,4.0,13,3.25,24,12,45.8,1,2,1,0,0.0,0,0,0,0,
12,vs Manchester City,1,4,4,360,4.0,13,3.25,23,11,47.8,0,1,3,0,0.0,1,1,0,0,0.0
13,vs Manchester Utd,1,4,4,360,4.0,4,1.0,18,15,77.8,2,0,2,1,25.0,0,0,0,0,
14,vs Newcastle Utd,1,4,4,360,4.0,6,1.5,19,13,68.4,0,3,1,1,25.0,0,0,0,0,
15,vs Nott'ham Forest,1,4,4,360,4.0,2,0.5,12,10,83.3,2,1,1,2,50.0,0,0,0,0,
16,vs Southampton,1,4,4,360,4.0,5,1.25,14,9,64.3,2,1,1,1,25.0,0,0,0,0,
17,vs Tottenham,1,4,4,360,4.0,9,2.25,21,12,57.1,0,1,3,0,0.0,1,0,1,0,100.0
18,vs West Ham,2,4,4,360,4.0,1,0.25,9,8,88.9,3,0,1,3,75.0,1,0,1,0,100.0
19,vs Wolves,1,4,4,360,4.0,2,0.5,14,12,85.7,2,2,0,2,50.0,0,0,0,0,
