,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,Arsenal,1,4,4,360,4.0,3,0.75,9,7,66.7,4,0,0,2,50.0,0,0,0,0,
1,Aston Villa,1,4,4,360,4.0,7,1.75,17,11,58.8,1,0,3,0,0.0,1,0,1,0,100.0
2,Bournemouth,1,4,4,360,4.0,16,4.0,27,13,40.7,1,0,3,1,25.0,0,0,0,0,
3,Brentford,1,4,4,360,4.0,6,1.5,25,19,76.0,1,2,1,1,25.0,0,0,0,0,
4,Brighton,1,4,4,360,4.0,1,0.25,10,10,90.0,3,1,0,3,75.0,0,0,0,0,
5,Chelsea,1,4,4,360,4.0,6,1.5,19,13,68.4,2,1,1,1,25.0,0,0,0,0,
6,Crystal Palace,1,4,4,360,4.0,8,2.0,16,9,50.0,1,1,2,0,0.0,0,0,0,0,
7,Everton,1,4,4,360,4.0,5,1.25,17,13,76.5,0,2,2,0,0.0,1,1,0,0,0.0
8,Fulham,2,4,4,360,4.0,6,1.5,17,11,64.7,1,2,1,1,25.0,0,0,0,0,
9,Leeds United,1,4,4,360,4.0,4,1.0,17,13,76.5,2,1,1,1,25.0,0,0,0,0,
10,Leicester City,1,4,4,360,4.0,10,2.5,16,6,37.5,0,1,3,0,0.0,0,0,0,0,
11,Liverpool,1,4,4,360,4.0,5,1.25,12,8,66.7,1,2,1,1,25.0,1,1,0,0,0.0
12,Manchester City,1,4,4,360,4.0,5,1.25,9,5,44.4,3,1,0,2,50.0,0,0,0,0,
13,Manchester Utd,1,4,4,360,4.0,7,1.75,20,13,65.0,2,0,2,1,25.0,0,0,0,0,
14,Newcastle Utd,1,4,4,360,4.0,4,1.0,20,15,80.0,1,3,0,2,50.0,0,0,0,0,
15,Nott'ham Forest,1,4,4,360,4.0,5,1.25,24,19,79.2,1,1,2,1,25.0,2,0,2,0,100.0
16,Southampton,1,4,4,360,4.0,8,2.0,17,10,52.9,1,1,2,0,0.0,0,0,0,0,
17,Tottenham,1,4,4,360,4.0,3,0.75,9,6,66.7,3,1,0,2,50.0,0,0,0,0,
18,West Ham,2,4,4,360,4.0,5,1.25,11,8,72.7,1,0,3,1,25.0,2,2,0,0,0.0
19,Wolves,1,4,4,360,4.0,4,1.0,15,11,73.3,0,2,2,1,25.0,1,0,1,0,100.0
