,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Arsenal,2,2,0,0,6,3,3,6,3.0,5.0,1.7,3.2,1.62,2,2,0,0,5,0,5,6,3.0,2.8,1.2,1.6,0.8
1,2,Manchester City,2,2,0,0,8,2,6,6,3.0,4.1,0.2,3.8,1.92,2,1,1,0,5,3,2,4,2.0,5.0,2.2,2.9,1.43
2,3,Tottenham,2,2,0,0,5,1,4,6,3.0,3.1,1.3,1.7,0.87,2,1,1,0,4,2,2,4,2.0,3.8,2.4,1.4,0.69
3,4,Brighton,2,1,1,0,1,0,1,4,2.0,2.9,1.6,1.3,0.67,2,2,0,0,4,1,3,6,3.0,3.2,2.4,0.8,0.39
4,5,Leeds United,2,2,0,0,5,1,4,6,3.0,2.5,2.0,0.5,0.27,2,0,1,1,2,3,-1,1,0.5,3.5,3.0,0.5,0.27
5,6,Chelsea,2,1,1,0,4,3,1,4,2.0,3.3,2.8,0.5,0.24,2,1,0,1,1,3,-2,3,1.5,2.3,2.4,-0.1,-0.04
6,7,Newcastle Utd,2,1,1,0,5,3,2,4,2.0,3.8,3.1,0.7,0.34,2,0,2,0,1,1,0,2,1.0,2.2,1.8,0.4,0.19
7,8,Manchester Utd,2,1,0,1,3,3,0,3,1.5,3.3,3.1,0.3,0.13,2,1,0,1,1,4,-3,3,1.5,1.9,3.4,-1.5,-0.73
8,9,Liverpool,2,1,1,0,10,1,9,4,2.0,5.1,1.9,3.3,1.64,2,0,1,1,3,4,-1,1,0.5,3.4,3.0,0.4,0.2
9,10,Brentford,2,1,1,0,5,1,4,4,2.0,4.5,2.3,2.3,1.13,2,0,1,1,4,5,-1,1,0.5,1.9,2.4,-0.5,-0.24
10,11,Fulham,2,1,1,0,5,4,1,4,2.0,3.2,3.4,-0.2,-0.09,2,0,1,1,1,2,-1,1,0.5,2.3,3.1,-0.8,-0.41
11,12,Crystal Palace,2,1,0,1,3,3,0,3,1.5,4.1,2.3,1.8,0.91,2,0,1,1,3,5,-2,1,0.5,1.6,4.2,-2.6,-1.3
12,13,Southampton,2,0,1,1,2,3,-1,1,0.5,2.6,3.2,-0.5,-0.26,2,1,0,1,3,5,-2,3,1.5,1.2,1.8,-0.5,-0.26
13,14,Nott'ham Forest,2,1,0,1,1,2,-1,3,1.5,2.4,4.8,-2.5,-1.23,2,0,1,1,1,3,-2,1,0.5,1.4,3.8,-2.5,-1.23
14,15,Aston Villa,2,1,0,1,2,2,0,3,1.5,2.2,1.8,0.4,0.21,2,0,0,2,1,5,-4,0,0.0,1.8,3.6,-1.8,-0.9
15,16,West Ham,2,0,0,2,0,4,-4,0,0.0,1.1,3.9,-2.8,-1.39,2,1,0,1,1,1,0,3,1.5,2.5,1.9,0.6,0.28
16,17,Bournemouth,2,1,0,1,2,3,-1,3,1.5,0.8,2.4,-1.6,-0.81,2,0,0,2,0,13,-13,0,0.0,0.5,5.0,-4.5,-2.26
17,18,Everton,2,0,1,1,1,2,-1,1,0.5,2.4,2.6,-0.3,-0.14,2,0,1,1,2,3,-1,1,0.5,2.9,4.4,-1.5,-0.77
18,19,Wolves,2,0,2,0,1,1,0,2,1.0,1.5,3.2,-1.7,-0.85,2,0,0,2,1,3,-2,0,0.0,2.0,2.2,-0.1,-0.07
19,20,Leicester City,2,0,1,1,3,4,-1,1,0.5,0.8,1.1,-0.3,-0.16,2,0,0,2,3,6,-3,0,0.0,2.4,4.5,-2.1,-1.04
