,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Arsenal,4,4,0,0,11,3,8,12,3.0,7.8,2.9,4.8,1.21,W W W W,60099,Martin Ødegaard - 3,Aaron Ramsdale,
1,2,Manchester City,4,3,1,0,13,5,8,10,2.5,9.1,2.4,6.7,1.68,W W D W,26727,Erling Haaland - 6,Ederson,
2,3,Tottenham,4,3,1,0,9,3,6,10,2.5,6.9,3.8,3.1,0.78,W D W W,61515,Harry Kane - 4,Hugo Lloris,
3,4,Brighton,4,3,1,0,5,1,4,10,2.5,6.1,4.0,2.1,0.53,W D W W,31253,Pascal Groß - 3,Robert Sánchez,
4,5,Leeds United,4,2,1,1,7,4,3,7,1.75,6.0,4.9,1.1,0.27,W D W L,36360,Rodrigo - 4,Illan Meslier,
5,6,Chelsea,4,2,1,1,5,6,-1,7,1.75,5.6,5.2,0.4,0.1,W D L W,39950,Raheem Sterling - 2,Edouard Mendy,
6,7,Newcastle Utd,4,1,3,0,6,4,2,6,1.5,6.0,4.9,1.0,0.26,W D D D,52252,Callum Wilson - 2,Nick Pope,
7,8,Manchester Utd,4,2,0,2,4,7,-3,6,1.5,5.2,6.4,-1.2,-0.3,L L W W,36856,"Bruno Fernandes, Marcus Rashford... - 1",David de Gea,
8,9,Liverpool,4,1,2,1,13,5,8,5,1.25,8.6,4.9,3.7,0.92,D D L W,26485,Luis Díaz - 3,Alisson,
9,10,Brentford,4,1,2,1,9,6,3,5,1.25,6.5,4.7,1.8,0.45,D W L D,17005,"Josh Dasilva, Ivan Toney - 2",David Raya,
10,11,Fulham,4,1,2,1,6,6,0,5,1.25,5.5,6.5,-1.0,-0.25,D D W L,22003,Aleksandar Mitrović - 4,"Marek Rodák, Bernd Leno",
11,12,Crystal Palace,4,1,1,2,6,8,-2,4,1.0,5.6,6.4,-0.8,-0.2,L D W L,23649,Wilfried Zaha - 3,Vicente Guaita,
12,13,Southampton,4,1,1,2,5,8,-3,4,1.0,3.9,4.9,-1.1,-0.26,L D W L,31006,Che Adams - 2,Gavin Bazunu,
13,14,Nott'ham Forest,4,1,1,2,2,5,-3,4,1.0,3.8,8.7,-4.9,-1.23,L W D L,29289,"Brennan Johnson, Taiwo Awoniyi - 1",Dean Henderson,
14,15,Aston Villa,4,1,0,3,3,7,-4,3,0.75,4.1,5.4,-1.4,-0.34,L W L L,41840,"Emi Buendía, Ollie Watkins... - 1",Emiliano Martínez,
15,16,West Ham,4,1,0,3,1,5,-4,3,0.75,3.6,5.8,-2.2,-0.56,L L L W,62446,Pablo Fornals - 1,Łukasz Fabiański,
16,17,Bournemouth,4,1,0,3,2,16,-14,3,0.75,1.3,7.4,-6.1,-1.53,W L L L,10718,"Jefferson Lerma, Kieffer Moore - 1",Mark Travers,
17,18,Everton,4,0,2,2,3,5,-2,2,0.5,5.2,7.1,-1.8,-0.46,L L D D,39263,"Anthony Gordon, Demarai Gray - 1",Jordan Pickford,
18,19,Wolves,4,0,2,2,2,4,-2,2,0.5,3.5,5.4,-1.8,-0.46,L D L D,15589,"Rúben Neves, Daniel Podence - 1",José Sá,
19,20,Leicester City,4,0,1,3,6,10,-4,1,0.25,3.2,5.6,-2.4,-0.6,D L L L,31322,James Maddison - 2,Danny Ward,
