,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Arsenal,18,4.0,7,0,0,56,44,5,37,49,40,0,0,1,306,70,73,49.0
1,vs Aston Villa,18,4.0,6,0,0,58,59,6,31,54,43,0,0,0,308,61,76,44.5
2,vs Bournemouth,20,4.0,4,0,0,46,56,12,67,48,33,0,0,0,377,72,67,51.8
3,vs Brentford,21,4.0,9,0,0,43,34,11,38,59,38,0,0,0,316,82,79,50.9
4,vs Brighton,18,4.0,12,0,0,42,43,11,40,61,30,0,1,0,356,75,62,54.7
5,vs Chelsea,19,4.0,5,0,0,55,45,3,36,52,48,0,1,0,308,69,72,48.9
6,vs Crystal Palace,18,4.0,6,1,0,53,57,8,78,40,59,0,1,1,373,71,51,58.2
7,vs Everton,19,4.0,10,0,0,44,35,5,58,36,46,1,0,1,354,81,61,57.0
8,vs Fulham,20,4.0,7,0,0,31,51,13,63,57,41,0,2,0,401,83,97,46.1
9,vs Leeds United,18,4.0,6,1,1,51,62,11,38,70,36,0,0,1,375,68,64,51.5
10,vs Leicester City,17,4.0,7,1,1,51,36,8,28,50,41,0,0,1,312,73,78,48.3
11,vs Liverpool,20,4.0,10,0,0,41,31,8,24,78,46,1,0,1,326,78,79,49.7
12,vs Manchester City,19,4.0,9,0,0,47,37,8,26,63,24,0,1,1,204,52,59,46.8
13,vs Manchester Utd,20,4.0,2,0,0,34,51,5,52,70,34,0,0,1,345,63,91,40.9
14,vs Newcastle Utd,19,4.0,9,0,0,45,44,5,49,63,50,0,0,0,321,65,77,45.8
15,vs Nott'ham Forest,21,4.0,5,0,0,44,48,11,62,68,40,0,0,0,380,73,76,49.0
16,vs Southampton,21,4.0,11,0,0,53,39,4,40,46,38,0,0,0,363,107,69,60.8
17,vs Tottenham,19,4.0,11,0,0,40,49,3,53,51,46,0,1,1,348,59,81,42.1
18,vs West Ham,19,4.0,7,0,0,39,43,7,58,44,26,2,1,0,342,63,64,49.6
19,vs Wolves,18,4.0,8,0,0,56,41,3,55,56,45,1,0,0,342,64,53,54.7
