,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Arsenal,18,4.0,6,0,0,45,55,8,43,63,47,0,0,1,357,73,70,51.0
1,Aston Villa,18,4.0,10,0,0,61,58,9,71,48,47,0,1,1,361,76,61,55.5
2,Bournemouth,20,4.0,9,0,0,57,46,3,22,42,38,0,0,2,252,67,72,48.2
3,Brentford,21,4.0,4,0,0,34,42,10,54,54,28,0,0,0,303,79,82,49.1
4,Brighton,18,4.0,5,0,0,45,41,5,48,64,36,1,0,1,338,62,75,45.3
5,Chelsea,19,4.0,11,2,2,45,55,14,44,47,53,1,0,0,334,72,69,51.1
6,Crystal Palace,18,4.0,9,0,0,58,51,5,36,53,40,0,0,1,305,51,71,41.8
7,Everton,19,4.0,9,0,0,37,43,9,29,56,50,0,1,0,341,61,81,43.0
8,Fulham,20,4.0,11,0,0,52,30,9,45,93,44,2,0,0,328,97,83,53.9
9,Leeds United,18,4.0,8,0,0,64,49,3,34,58,47,0,0,0,358,64,68,48.5
10,Leicester City,17,4.0,5,0,0,36,51,6,36,38,35,0,0,0,320,78,73,51.7
11,Liverpool,20,4.0,3,1,0,32,40,12,77,46,42,0,1,0,464,79,78,50.3
12,Manchester City,19,4.0,4,0,0,37,47,6,77,36,28,1,0,1,297,59,52,53.2
13,Manchester Utd,20,4.0,14,0,0,51,33,8,35,51,35,0,0,0,345,91,63,59.1
14,Newcastle Utd,19,4.0,8,0,0,44,44,9,60,61,35,0,0,0,362,77,65,54.2
15,Nott'ham Forest,21,4.0,15,0,0,51,38,5,41,41,45,0,2,0,370,76,73,51.0
16,Southampton,21,4.0,4,0,0,42,52,3,44,70,48,0,0,1,388,69,107,39.2
17,Tottenham,19,4.0,6,0,0,51,37,8,44,75,41,0,0,0,294,81,59,57.9
18,West Ham,19,4.0,3,0,0,45,37,10,48,59,27,0,2,0,304,64,63,50.4
19,Wolves,18,4.0,7,0,0,42,56,5,45,60,38,0,1,1,336,53,64,45.3
