,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Arsenal,18,4.0,1784,1593,191,48,0,215,49,37,10,3,6,1,1209,193,382,456,1105,70,85,17,1405,5,24,61,50
1,vs Aston Villa,18,4.0,1660,1467,193,55,3,215,68,31,19,12,4,1,1058,240,362,488,945,75,79,27,1297,5,26,43,53
2,vs Bournemouth,20,4.0,2697,2542,155,47,9,307,80,67,28,8,14,2,2063,253,381,935,1550,77,63,23,2341,10,31,41,52
3,vs Brentford,21,4.0,1937,1766,171,36,4,245,55,38,18,11,6,1,1320,184,433,457,1234,87,76,26,1566,10,45,52,37
4,vs Brighton,18,4.0,1952,1760,192,42,0,255,69,40,17,5,8,3,1259,256,437,600,1088,95,87,27,1510,10,40,61,47
5,vs Chelsea,19,4.0,1619,1427,192,57,5,207,51,36,24,18,4,1,1120,193,306,456,986,47,76,21,1267,3,29,46,57
6,vs Crystal Palace,18,4.0,2532,2358,174,51,4,369,71,78,17,8,6,0,1883,228,421,852,1466,63,76,23,2157,6,33,52,45
7,vs Everton,19,4.0,2190,2003,187,41,0,255,53,58,31,19,4,1,1571,224,395,647,1277,90,81,36,1785,4,35,53,35
8,vs Fulham,20,4.0,2301,2085,216,54,2,277,81,63,21,11,6,0,1509,302,490,759,1225,105,104,33,1819,12,35,87,54
9,vs Leeds United,18,4.0,1893,1675,218,57,4,282,71,38,17,6,9,1,1251,212,430,499,1129,89,104,23,1476,10,25,57,60
10,vs Leicester City,17,4.0,1820,1658,162,39,1,210,36,28,21,12,6,0,1249,184,387,596,1017,64,65,24,1447,8,31,38,41
11,vs Liverpool,20,4.0,1250,1058,192,37,3,193,25,24,13,6,4,1,618,196,436,291,686,104,74,22,828,8,43,46,45
12,vs Manchester City,19,4.0,1197,1053,144,39,0,161,47,26,8,3,2,2,738,126,333,308,731,47,39,23,905,8,22,35,31
13,vs Manchester Utd,20,4.0,1725,1516,209,53,2,176,48,52,23,11,8,2,1005,255,465,454,1005,104,94,19,1296,5,43,49,43
14,vs Newcastle Utd,19,4.0,1703,1523,180,48,6,200,53,49,17,5,9,0,1095,213,395,489,980,69,82,42,1322,5,25,59,38
15,vs Nott'ham Forest,21,4.0,1880,1693,187,43,4,179,58,62,25,12,7,2,1245,230,405,492,1127,85,87,41,1473,10,34,40,48
16,vs Southampton,21,4.0,2115,1916,199,36,0,221,64,40,20,4,10,1,1447,241,427,614,1215,101,101,31,1699,4,32,69,45
17,vs Tottenham,19,4.0,2132,1948,184,49,1,293,63,53,22,4,11,5,1594,198,340,526,1423,46,72,25,1765,2,26,75,37
18,vs West Ham,19,4.0,2331,2173,158,45,3,222,54,58,17,6,8,1,1660,237,434,644,1451,83,68,33,1939,6,36,57,36
19,vs Wolves,18,4.0,1764,1599,165,36,2,204,58,55,30,15,10,3,1183,204,377,509,1024,82,65,37,1388,3,26,56,43
