,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,Arsenal,18,4.0,2205,2044,161,51,2,315,52,43,24,20,0,0,1642,211,352,969,1007,82,60,32,1857,7,26,48,51
1,Aston Villa,18,4.0,2263,2080,183,57,1,281,56,71,15,7,3,0,1591,250,422,716,1307,75,80,25,1867,7,38,52,37
2,Bournemouth,20,4.0,1434,1237,197,52,0,225,32,22,10,6,3,0,884,184,366,484,719,79,70,25,1075,3,28,45,44
3,Brentford,21,4.0,1793,1592,201,51,2,218,48,54,25,15,4,1,1126,220,447,685,862,69,83,30,1379,10,34,58,39
4,Brighton,18,4.0,1648,1464,184,48,2,229,51,48,18,8,8,0,995,222,431,331,1075,87,87,18,1239,4,40,60,40
5,Chelsea,19,4.0,2248,2038,210,47,1,290,60,44,33,15,11,2,1669,218,361,477,1549,63,90,21,1869,11,30,51,51
6,Crystal Palace,18,4.0,1677,1491,186,51,2,240,63,36,10,3,6,1,1091,213,373,404,1054,72,76,25,1330,5,35,38,48
7,Everton,19,4.0,1617,1438,179,41,6,157,66,29,23,21,1,0,1004,204,409,427,975,74,74,30,1248,8,37,34,39
8,Fulham,20,4.0,1312,1131,181,39,1,212,36,45,15,4,8,2,659,188,465,280,753,100,85,11,887,9,40,56,43
9,Leeds United,18,4.0,1727,1528,199,53,0,198,34,34,18,5,11,1,1098,238,391,617,869,87,84,32,1293,3,36,67,45
10,Leicester City,17,4.0,2242,2050,192,51,2,223,47,36,20,14,5,0,1661,232,349,488,1532,63,85,29,1881,6,29,48,48
11,Liverpool,20,4.0,2855,2657,198,39,8,308,104,77,24,8,12,2,2017,333,505,776,1781,94,109,31,2381,10,43,74,51
12,Manchester City,19,4.0,3058,2907,151,44,13,247,96,77,26,4,16,2,2455,229,374,1020,1845,66,59,28,2741,6,20,61,39
13,Manchester Utd,20,4.0,1886,1702,184,31,2,244,79,35,17,6,5,4,1246,203,437,519,1097,105,79,26,1466,7,45,70,47
14,Newcastle Utd,19,4.0,1664,1500,164,42,0,190,57,60,32,12,9,6,1073,183,408,437,1000,71,64,32,1276,8,22,62,36
15,Nott'ham Forest,21,4.0,1728,1536,192,47,0,225,47,41,15,5,6,4,1103,202,423,498,972,84,79,44,1292,5,28,66,34
16,Southampton,21,4.0,1586,1401,185,51,1,217,34,44,15,3,10,0,960,174,452,364,972,93,87,24,1159,3,38,44,44
17,Tottenham,19,4.0,1910,1738,172,35,8,216,65,44,24,10,7,2,1430,183,297,518,1191,63,70,29,1594,8,21,48,51
18,West Ham,19,4.0,1689,1517,172,34,0,190,65,48,15,8,6,0,1051,235,403,497,951,79,82,33,1288,9,28,41,55
19,Wolves,18,4.0,1940,1762,178,49,2,261,62,45,19,5,11,1,1322,247,371,565,1153,77,75,28,1563,5,23,54,55
