,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Arsenal,18,4.0,1405,1784,78.8,28442,9177,546,632,86.4,618,708,87.3,220,372,59.1,1,2.1,-1.1,24,94,24,9,76
1,vs Aston Villa,18,4.0,1297,1660,78.1,26182,9482,522,604,86.4,527,616,85.6,217,357,60.8,4,3.5,0.5,33,89,22,6,88
2,vs Bournemouth,20,4.0,2341,2697,86.8,44756,12231,935,1020,91.7,1037,1140,91.0,327,451,72.5,11,4.5,6.5,47,217,58,14,162
3,vs Brentford,21,4.0,1566,1937,80.8,29866,9663,705,790,89.2,619,714,86.7,213,365,58.4,5,2.9,2.1,43,142,28,8,111
4,vs Brighton,18,4.0,1510,1952,77.4,28908,10105,596,688,86.6,677,793,85.4,199,386,51.6,0,2.7,-2.7,34,121,29,6,142
5,vs Chelsea,19,4.0,1267,1619,78.3,25374,8806,474,550,86.2,564,650,86.8,207,340,60.9,5,3.6,1.4,37,111,24,7,108
6,vs Crystal Palace,18,4.0,2157,2532,85.2,43261,13151,835,916,91.2,954,1072,89.0,338,475,71.2,7,4.7,2.3,51,194,66,19,181
7,vs Everton,19,4.0,1785,2190,81.5,33670,10134,709,793,89.4,828,945,87.6,208,374,55.6,3,4.4,-1.4,40,141,36,10,134
8,vs Fulham,20,4.0,1819,2301,79.1,37740,11629,669,772,86.7,810,939,86.3,304,490,62.0,5,5.2,-0.2,33,129,43,9,148
9,vs Leeds United,18,4.0,1476,1893,78.0,30583,10110,554,640,86.6,621,744,83.5,261,410,63.7,4,4.6,-0.6,45,116,36,9,119
10,vs Leicester City,17,4.0,1447,1820,79.5,28458,8968,582,660,88.2,620,711,87.2,213,372,57.3,8,4.0,4.0,35,116,24,4,119
11,vs Liverpool,20,4.0,828,1250,66.2,16624,7821,373,466,80.0,302,400,75.5,134,311,43.1,4,3.3,0.7,25,67,16,2,75
12,vs Manchester City,19,4.0,905,1197,75.6,19019,6803,346,402,86.1,393,452,86.9,155,307,50.5,3,2.1,0.9,18,45,20,9,56
13,vs Manchester Utd,20,4.0,1296,1725,75.1,26362,9953,506,596,84.9,540,648,83.3,215,402,53.5,4,4.9,-0.9,46,109,45,11,119
14,vs Newcastle Utd,19,4.0,1322,1703,77.6,26684,8809,528,595,88.7,562,671,83.8,209,378,55.3,4,3.6,0.4,36,118,34,10,117
15,vs Nott'ham Forest,21,4.0,1473,1880,78.4,28095,10463,656,735,89.3,576,689,83.6,219,397,55.2,4,5.7,-1.7,60,108,40,11,123
16,vs Southampton,21,4.0,1699,2115,80.3,32235,10502,712,810,87.9,712,833,85.5,240,397,60.5,6,3.6,2.4,36,120,35,9,144
17,vs Tottenham,19,4.0,1765,2132,82.8,34098,9237,741,817,90.7,746,847,88.1,248,401,61.8,3,2.8,0.2,45,157,45,8,131
18,vs West Ham,19,4.0,1939,2331,83.2,35751,11367,836,916,91.3,831,934,89.0,236,404,58.4,2,3.0,-1.0,34,122,31,6,138
19,vs Wolves,18,4.0,1388,1764,78.7,27681,9709,541,619,87.4,615,717,85.8,210,362,58.0,2,3.1,-1.1,38,96,35,6,137
