,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Arsenal,18,4.0,1857,2205,84.2,35259,11024,793,885,89.6,769,853,90.2,257,381,67.5,8,5.0,3.0,43,116,48,7,157
1,Aston Villa,18,4.0,1867,2263,82.5,35308,10576,759,838,90.6,822,935,87.9,243,402,60.4,3,3.4,-0.4,35,142,39,13,140
2,Bournemouth,20,4.0,1075,1434,75.0,21211,7931,447,531,84.2,439,514,85.4,164,313,52.4,1,0.9,0.1,16,53,15,7,49
3,Brentford,21,4.0,1379,1793,76.9,28137,9280,545,623,87.5,600,706,85.0,218,409,53.3,7,4.6,2.4,36,102,28,8,92
4,Brighton,18,4.0,1239,1648,75.2,24840,9609,530,610,86.9,482,581,83.0,196,378,51.9,3,4.2,-1.2,41,112,35,8,121
5,Chelsea,19,4.0,1869,2248,83.1,35585,10701,776,863,89.9,781,903,86.5,262,383,68.4,4,3.9,0.1,38,153,36,6,154
6,Crystal Palace,18,4.0,1330,1677,79.3,27635,9381,515,577,89.3,571,653,87.4,225,381,59.1,4,4.1,-0.1,28,88,17,4,78
7,Everton,19,4.0,1248,1617,77.2,26221,8983,482,544,88.6,500,589,84.9,237,418,56.7,2,3.4,-1.4,39,108,20,7,92
8,Fulham,20,4.0,887,1312,67.6,18311,8004,356,458,77.7,351,460,76.3,159,320,49.7,3,2.2,0.8,32,78,24,11,68
9,Leeds United,18,4.0,1293,1727,74.9,23759,8761,534,626,85.3,569,705,80.7,164,330,49.7,5,2.9,2.1,33,87,23,4,140
10,Leicester City,17,4.0,1881,2242,83.9,34637,10752,857,929,92.2,782,882,88.7,221,366,60.4,4,2.7,1.3,32,174,30,7,138
11,Liverpool,20,4.0,2381,2855,83.4,48949,15264,858,963,89.1,1075,1215,88.5,407,578,70.4,8,6.0,2.0,54,212,74,15,209
12,Manchester City,19,4.0,2741,3058,89.6,52112,13574,1123,1193,94.1,1234,1350,91.4,349,454,76.9,11,6.2,4.8,60,245,57,14,193
13,Manchester Utd,20,4.0,1466,1886,77.7,28091,9103,612,719,85.1,605,698,86.7,206,376,54.8,3,4.0,-1.0,41,119,37,5,135
14,Newcastle Utd,19,4.0,1276,1664,76.7,25204,9648,549,637,86.2,519,621,83.6,189,357,52.9,3,4.7,-1.7,50,96,53,12,152
15,Nott'ham Forest,21,4.0,1292,1728,74.8,26216,8392,472,565,83.5,597,712,83.8,205,401,51.1,0,2.1,-2.1,28,92,30,8,95
16,Southampton,21,4.0,1159,1586,73.1,23024,7886,451,530,85.1,513,630,81.4,165,354,46.6,5,3.2,1.8,38,115,40,13,101
17,Tottenham,19,4.0,1594,1910,83.5,32080,10543,593,666,89.0,713,793,89.9,263,380,69.2,8,5.3,2.7,46,102,31,9,112
18,West Ham,19,4.0,1288,1689,76.3,25277,9425,526,609,86.4,554,657,84.3,186,353,52.7,1,2.1,-1.1,31,88,23,7,96
19,Wolves,18,4.0,1563,1940,80.6,31933,9283,588,655,89.8,676,766,88.3,257,417,61.6,2,3.0,-1.0,39,130,31,8,106
