,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Arsenal,18,24.7,4,360,90,100,4.0,44,87,29,15,10,21,3.0,11,3,8,2.0,7.8,2.9,4.8,1.21
1,Aston Villa,18,26.8,4,360,90,100,4.0,44,84,28,16,16,20,0.75,3,7,-4,-1.0,4.1,5.4,-1.4,-0.34
2,Bournemouth,20,26.0,4,360,90,100,4.0,44,83,30,15,21,21,0.75,2,16,-14,-3.5,1.3,7.4,-6.1,-1.53
3,Brentford,21,26.2,4,360,90,100,4.0,44,82,25,19,19,17,1.25,9,6,3,0.75,6.5,4.7,1.8,0.45
4,Brighton,18,27.8,4,360,90,100,4.0,44,86,29,15,13,21,2.5,5,1,4,1.0,6.1,4.0,2.1,0.53
5,Chelsea,19,27.9,4,360,90,100,4.0,44,82,25,17,16,19,1.75,5,6,-1,-0.25,5.6,5.2,0.4,0.1
6,Crystal Palace,18,27.5,4,360,90,100,4.0,44,84,26,18,16,18,1.0,6,8,-2,-0.5,5.6,6.4,-0.8,-0.2
7,Everton,19,25.6,4,360,90,100,4.0,44,82,31,13,26,23,0.5,3,5,-2,-0.5,5.2,7.1,-1.8,-0.46
8,Fulham,20,27.8,4,360,90,100,4.0,44,87,29,15,8,21,1.25,6,6,0,0.0,5.5,6.5,-1.0,-0.25
9,Leeds United,18,25.5,4,360,90,100,4.0,44,83,28,17,17,19,1.75,7,4,3,0.75,6.0,4.9,1.1,0.27
10,Leicester City,17,27.5,4,360,90,100,4.0,44,85,34,10,24,26,0.25,6,10,-4,-1.0,3.2,5.6,-2.4,-0.6
11,Liverpool,20,28.0,4,360,90,100,4.0,44,80,27,16,25,20,1.25,13,5,8,2.0,8.6,4.9,3.7,0.92
12,Manchester City,19,27.7,4,360,90,100,4.0,44,83,29,15,20,21,2.5,13,5,8,2.0,9.1,2.4,6.7,1.68
13,Manchester Utd,20,27.0,4,360,90,100,4.0,44,82,26,18,19,18,1.5,4,7,-3,-0.75,5.2,6.4,-1.2,-0.3
14,Newcastle Utd,19,27.8,4,360,90,100,4.0,44,86,27,17,10,19,1.5,6,4,2,0.5,6.0,4.9,1.0,0.26
15,Nott'ham Forest,21,25.5,4,360,90,100,4.0,44,85,30,14,17,22,1.0,2,5,-3,-0.75,3.8,8.7,-4.9,-1.23
16,Southampton,21,24.4,4,360,90,100,4.0,44,83,28,16,19,20,1.0,5,8,-3,-0.75,3.9,4.9,-1.1,-0.26
17,Tottenham,19,27.7,4,360,90,100,4.0,44,86,28,16,12,20,2.5,9,3,6,1.5,6.9,3.8,3.1,0.78
18,West Ham,19,28.2,4,360,90,100,4.0,44,81,29,15,27,20,0.75,1,5,-4,-1.0,3.6,5.8,-2.2,-0.56
19,Wolves,18,25.9,4,360,90,100,4.0,44,86,32,12,16,24,0.5,2,4,-2,-0.5,3.5,5.4,-1.8,-0.46
