,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Arsenal,18,43.8,4.0,2243,312,902,997,443,71,2054,27,51,52.9,30,2,1395,6169,3050,93,21,13,50,44,1627,1405,86.4,76
1,vs Aston Villa,18,42.3,4.0,2165,305,878,922,483,85,1973,29,54,53.7,32,0,1178,5572,3069,105,32,15,52,52,1539,1297,84.3,88
2,vs Bournemouth,20,65.5,4.0,3128,163,594,1664,1031,136,2980,40,75,53.3,41,3,2251,9731,5033,242,74,10,46,39,2549,2341,91.8,162
3,vs Brentford,21,52.0,4.0,2398,251,701,1144,679,91,2232,25,45,55.6,28,4,1483,6479,3338,155,58,14,54,35,1790,1566,87.5,111
4,vs Brighton,18,53.5,4.0,2386,283,894,1045,605,86,2198,23,41,56.1,26,6,1524,7315,3890,155,55,18,45,43,1801,1510,83.8,142
5,vs Chelsea,19,41.8,4.0,2160,297,860,889,527,83,1973,29,55,52.7,31,2,1234,5337,3012,111,30,14,47,63,1491,1267,85.0,108
6,vs Crystal Palace,18,60.3,4.0,2991,248,732,1548,883,155,2823,25,42,59.5,26,2,2054,9817,5212,221,65,24,52,58,2411,2157,89.5,181
7,vs Everton,19,57.5,4.0,2673,286,785,1225,819,114,2490,31,55,56.4,35,1,1662,7356,4243,184,61,17,52,59,2017,1785,88.5,134
8,vs Fulham,20,63.5,4.0,2753,279,965,1230,702,131,2545,37,64,57.8,39,7,1680,7936,4193,131,34,18,66,53,2181,1819,83.4,148
9,vs Leeds United,18,51.5,4.0,2399,249,796,1067,662,107,2189,54,98,55.1,60,6,1477,6815,3682,142,39,17,71,46,1743,1476,84.7,119
10,vs Leicester City,17,44.8,4.0,2232,209,676,1075,601,85,2074,23,40,57.5,25,1,1509,7355,3977,161,46,14,38,44,1609,1447,89.9,119
11,vs Liverpool,20,29.8,4.0,1785,345,795,711,353,61,1594,35,64,54.7,38,4,858,3519,1908,71,20,19,59,43,1080,828,76.7,75
12,vs Manchester City,19,28.3,4.0,1575,363,830,563,258,46,1437,17,32,53.1,17,3,867,4395,2186,81,26,7,38,22,1047,905,86.4,56
13,vs Manchester Utd,20,47.0,4.0,2185,254,651,927,717,142,1979,37,57,64.9,39,5,1338,5533,2842,124,41,16,49,44,1571,1296,82.5,119
14,vs Newcastle Utd,19,49.5,4.0,2199,314,818,918,589,95,2024,21,46,45.7,23,3,1342,6939,4072,143,41,20,59,43,1526,1322,86.6,117
15,vs Nott'ham Forest,21,53.0,4.0,2388,283,809,1015,698,141,2198,26,46,56.5,28,2,1537,8005,4655,179,60,41,55,55,1661,1473,88.7,123
16,vs Southampton,21,57.3,4.0,2628,291,937,1218,609,96,2432,33,53,62.3,34,6,1627,7087,3835,162,37,14,58,56,1927,1699,88.2,144
17,vs Tottenham,19,52.8,4.0,2624,241,669,1192,896,128,2444,38,80,47.5,46,1,1772,7873,4011,205,52,23,39,38,1994,1765,88.5,131
18,vs West Ham,19,56.8,4.0,2734,286,877,1310,717,98,2577,26,41,63.4,26,3,1912,9905,5285,218,65,22,50,29,2135,1939,90.8,138
19,vs Wolves,18,48.3,4.0,2250,256,731,1010,659,114,2088,31,61,50.8,34,4,1315,7195,4017,153,50,22,61,43,1659,1388,83.7,137
