,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,Arsenal,18,56.3,4.0,2677,214,733,1295,803,148,2522,54,76,71.1,55,3,1745,8889,4753,186,57,23,55,55,2061,1857,90.1,157
1,Aston Villa,18,57.8,4.0,2735,257,804,1302,787,87,2563,22,51,43.1,25,0,1837,8382,4603,205,67,13,53,48,2117,1867,88.2,140
2,Bournemouth,20,34.5,4.0,1864,346,895,757,296,40,1673,23,43,53.5,25,1,977,4297,1968,63,19,4,43,34,1304,1075,82.4,49
3,Brentford,21,48.0,4.0,2183,260,777,927,590,94,1990,18,28,64.3,18,1,1315,6218,3168,112,32,10,41,43,1603,1379,86.0,92
4,Brighton,18,46.5,4.0,2113,241,656,886,663,111,1930,21,34,61.8,21,1,1249,5516,3011,129,30,20,57,43,1384,1239,89.5,121
5,Chelsea,19,58.3,4.0,2757,245,744,1268,894,115,2554,40,79,50.6,48,2,1802,7611,4207,190,55,21,59,56,2145,1869,87.1,154
6,Crystal Palace,18,39.8,4.0,2160,353,930,913,425,77,1976,36,66,54.5,37,6,1273,5554,3174,103,28,23,57,54,1537,1330,86.5,78
7,Everton,19,42.5,4.0,2152,311,829,922,521,92,1977,34,59,57.6,39,2,1255,6201,3310,110,39,20,56,58,1461,1248,85.4,92
8,Fulham,20,36.5,4.0,1835,284,698,767,461,82,1656,24,49,49.0,28,2,914,4743,2639,100,29,11,60,45,1185,887,74.9,68
9,Leeds United,18,48.5,4.0,2231,290,868,962,514,80,2036,28,49,57.1,31,5,1141,5253,2814,114,38,15,47,47,1594,1293,81.1,140
10,Leicester City,17,55.3,4.0,2690,225,843,1339,643,76,2502,23,44,52.3,24,3,1813,7407,4055,180,41,12,56,44,2102,1881,89.5,138
11,Liverpool,20,70.3,4.0,3329,232,846,1689,976,194,3134,35,66,53.0,36,4,2282,9731,5135,201,59,18,62,64,2750,2381,86.6,209
12,Manchester City,19,71.8,4.0,3400,188,662,1854,1105,158,3254,36,56,64.3,36,4,2668,12587,6706,309,92,28,41,24,2943,2741,93.1,193
13,Manchester Utd,20,53.0,4.0,2359,285,797,1011,684,102,2176,32,48,66.7,35,4,1474,6079,3414,145,54,23,51,39,1679,1466,87.3,135
14,Newcastle Utd,19,50.5,4.0,2149,270,692,871,720,139,1986,30,59,50.8,30,4,1325,7261,3857,160,47,27,49,45,1463,1276,87.2,152
15,Nott'ham Forest,21,47.0,4.0,2214,338,799,970,549,93,2026,22,48,45.8,27,1,1348,6022,3461,153,41,18,48,39,1540,1292,83.9,95
16,Southampton,21,42.8,4.0,2076,215,600,946,630,114,1894,45,75,60.0,47,7,1211,6308,3095,133,37,14,48,46,1388,1159,83.5,101
17,Tottenham,19,47.3,4.0,2461,357,990,1070,542,107,2292,31,58,53.4,32,5,1580,7595,4301,148,48,28,58,55,1790,1594,89.1,112
18,West Ham,19,43.3,4.0,2077,265,795,902,508,79,1905,14,27,51.9,17,1,1266,6683,3428,142,46,14,42,35,1507,1288,85.5,96
19,Wolves,18,51.8,4.0,2434,339,942,1019,620,77,2258,39,85,45.9,47,9,1540,7996,4411,153,48,16,58,35,1805,1563,86.6,106
