,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Arsenal,18,4.0,2,33,9,27.3,8.25,2.25,0.06,0.22,14.6,1,0,0,2.9,2.9,0.09,-0.9,-0.9
1,vs Aston Villa,18,4.0,6,45,17,37.8,11.25,4.25,0.13,0.35,15.9,2,0,1,5.4,4.6,0.1,0.6,1.4
2,vs Bournemouth,20,4.0,14,68,27,39.7,17.0,6.75,0.21,0.52,15.5,0,0,0,7.4,7.4,0.12,6.6,6.6
3,vs Brentford,21,4.0,6,61,25,41.0,15.25,6.25,0.1,0.24,18.0,1,0,0,4.7,4.7,0.08,1.3,1.3
4,vs Brighton,18,4.0,0,44,10,22.7,11.0,2.5,0.0,0.0,16.0,1,0,0,4.0,4.0,0.09,-4.0,-4.0
5,vs Chelsea,19,4.0,6,47,19,40.4,11.75,4.75,0.13,0.32,15.5,0,0,0,5.2,5.2,0.11,0.8,0.8
6,vs Crystal Palace,18,4.0,7,65,16,24.6,16.25,4.0,0.11,0.44,15.5,1,0,0,6.4,6.4,0.1,0.6,0.6
7,vs Everton,19,4.0,5,60,17,28.3,15.0,4.25,0.07,0.24,15.4,2,1,1,7.1,6.4,0.11,-2.1,-2.4
8,vs Fulham,20,4.0,6,54,17,31.5,13.5,4.25,0.11,0.35,15.2,2,0,0,6.5,6.5,0.12,-0.5,-0.5
9,vs Leeds United,18,4.0,4,56,17,30.4,14.0,4.25,0.07,0.24,17.1,1,0,0,4.9,4.9,0.09,-0.9,-0.9
10,vs Leicester City,17,4.0,10,43,16,37.2,10.75,4.0,0.23,0.63,13.9,0,0,0,5.6,5.6,0.13,4.4,4.4
11,vs Liverpool,20,4.0,5,34,12,35.3,8.5,3.0,0.12,0.33,17.5,2,1,1,4.9,4.1,0.12,0.1,-0.1
12,vs Manchester City,19,4.0,4,23,9,39.1,5.75,2.25,0.17,0.44,15.6,1,0,0,2.4,2.4,0.1,1.6,1.6
13,vs Manchester Utd,20,4.0,7,63,20,31.7,15.75,5.0,0.11,0.35,15.2,1,0,0,6.4,6.4,0.1,0.6,0.6
14,vs Newcastle Utd,19,4.0,4,50,20,40.0,12.5,5.0,0.08,0.2,16.3,2,0,0,4.9,4.9,0.1,-0.9,-0.9
15,vs Nott'ham Forest,21,4.0,5,78,24,30.8,19.5,6.0,0.06,0.21,17.9,4,0,2,8.7,7.3,0.09,-3.7,-2.3
16,vs Southampton,21,4.0,7,48,17,35.4,12.0,4.25,0.15,0.41,14.7,2,0,0,4.9,4.9,0.11,2.1,2.1
17,vs Tottenham,19,4.0,3,64,9,14.1,16.0,2.25,0.05,0.33,18.5,2,0,0,3.8,3.8,0.06,-0.8,-0.8
18,vs West Ham,19,4.0,5,45,11,24.4,11.25,2.75,0.07,0.27,17.1,2,2,2,5.8,4.3,0.1,-0.8,-1.3
19,vs Wolves,18,4.0,3,52,15,28.8,13.0,3.75,0.06,0.2,16.0,2,0,1,5.4,4.6,0.09,-2.4,-1.6
