,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,18,4.0,10,66,23,34.8,16.5,5.75,0.15,0.43,14.8,2,0,0,7.8,7.8,0.12,2.2,2.2
1,Aston Villa,18,4.0,3,49,13,26.5,12.25,3.25,0.06,0.23,18.0,0,0,0,4.1,4.1,0.08,-1.1,-1.1
2,Bournemouth,20,4.0,2,21,8,38.1,5.25,2.0,0.1,0.25,16.7,1,0,0,1.3,1.3,0.06,0.7,0.7
3,Brentford,21,4.0,9,54,19,35.2,13.5,4.75,0.17,0.47,15.0,1,0,0,6.5,6.5,0.12,2.5,2.5
4,Brighton,18,4.0,5,51,14,27.5,12.75,3.5,0.08,0.29,16.0,0,1,1,6.1,5.3,0.11,-1.1,-1.3
5,Chelsea,19,4.0,5,51,14,27.5,12.75,3.5,0.08,0.29,16.7,1,1,1,5.6,4.9,0.1,-0.6,-0.9
6,Crystal Palace,18,4.0,5,35,15,42.9,8.75,3.75,0.14,0.33,15.0,1,0,1,5.6,4.8,0.14,-0.6,0.2
7,Everton,19,4.0,2,56,22,39.3,14.0,5.5,0.04,0.09,16.4,1,0,0,5.2,5.2,0.1,-3.2,-3.2
8,Fulham,20,4.0,6,45,15,33.3,11.25,3.75,0.11,0.33,15.1,1,1,2,5.5,3.9,0.09,0.5,1.1
9,Leeds United,18,4.0,6,47,17,36.2,11.75,4.25,0.13,0.35,15.9,2,0,0,6.0,6.0,0.13,0.0,0.0
10,Leicester City,17,4.0,5,43,13,30.2,10.75,3.25,0.12,0.38,18.7,1,0,0,3.2,3.2,0.08,1.8,1.8
11,Liverpool,20,4.0,12,71,24,33.8,17.75,6.0,0.17,0.5,14.0,0,0,0,8.6,8.6,0.13,3.4,3.4
12,Manchester City,19,4.0,12,73,23,31.5,18.25,5.75,0.15,0.48,15.3,2,1,1,9.1,8.3,0.12,2.9,2.7
13,Manchester Utd,20,4.0,3,56,18,32.1,14.0,4.5,0.05,0.17,17.5,3,0,0,5.2,5.2,0.1,-2.2,-2.2
14,Newcastle Utd,19,4.0,6,61,19,31.1,15.25,4.75,0.1,0.32,15.8,3,0,0,6.0,6.0,0.1,0.0,0.0
15,Nott'ham Forest,21,4.0,2,50,12,24.0,12.5,3.0,0.04,0.17,17.0,3,0,0,3.8,3.8,0.08,-1.8,-1.8
16,Southampton,21,4.0,5,51,14,27.5,12.75,3.5,0.1,0.36,15.2,1,0,0,3.9,3.9,0.08,1.1,1.1
17,Tottenham,19,4.0,8,57,21,36.8,14.25,5.25,0.14,0.38,15.3,0,0,1,6.9,6.1,0.11,1.1,1.9
18,West Ham,19,4.0,1,44,9,20.5,11.0,2.25,0.02,0.11,17.5,3,0,1,3.6,3.0,0.07,-2.6,-2.0
19,Wolves,18,4.0,2,52,14,26.9,13.0,3.5,0.04,0.14,19.5,3,0,0,3.5,3.5,0.07,-1.5,-1.5
