,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Arsenal,18,27.2,43.8,4,44,360,4.0,2,1,2,0,0,7,0,0.5,0.25,0.75,0.5,0.75,2.9,2.9,2.1,5.0,0.73,0.52,1.25,0.73,1.25
1,vs Aston Villa,18,26.8,42.3,4,44,360,4.0,6,4,6,0,1,6,0,1.5,1.0,2.5,1.5,2.5,5.4,4.6,3.5,8.1,1.36,0.87,2.23,1.14,2.01
2,vs Bournemouth,20,26.8,65.5,4,44,360,4.0,14,11,14,0,0,4,0,3.5,2.75,6.25,3.5,6.25,7.4,7.4,4.5,11.9,1.86,1.13,2.99,1.86,2.99
3,vs Brentford,21,27.0,52.0,4,44,360,4.0,6,5,6,0,0,9,0,1.5,1.25,2.75,1.5,2.75,4.7,4.7,2.9,7.6,1.18,0.73,1.9,1.18,1.9
4,vs Brighton,18,27.3,53.5,4,44,360,4.0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.7,6.7,1.0,0.67,1.67,1.0,1.67
5,vs Chelsea,19,26.5,41.8,4,44,360,4.0,6,5,6,0,0,5,0,1.5,1.25,2.75,1.5,2.75,5.2,5.2,3.6,8.8,1.31,0.9,2.2,1.31,2.2
6,vs Crystal Palace,18,26.5,60.3,4,44,360,4.0,7,7,7,0,0,6,1,1.75,1.75,3.5,1.75,3.5,6.4,6.4,4.7,11.1,1.6,1.18,2.78,1.6,2.78
7,vs Everton,19,26.9,57.5,4,44,360,4.0,5,3,4,1,1,10,0,1.25,0.75,2.0,1.0,1.75,7.1,6.4,4.4,10.7,1.77,1.09,2.86,1.59,2.68
8,vs Fulham,20,26.3,63.5,4,44,360,4.0,6,5,6,0,0,7,0,1.5,1.25,2.75,1.5,2.75,6.5,6.5,5.2,11.7,1.62,1.29,2.92,1.62,2.92
9,vs Leeds United,18,26.0,51.5,4,44,360,4.0,4,4,4,0,0,6,1,1.0,1.0,2.0,1.0,2.0,4.9,4.9,4.6,9.5,1.23,1.14,2.36,1.23,2.36
10,vs Leicester City,17,25.4,44.8,4,44,360,4.0,10,8,10,0,0,7,1,2.5,2.0,4.5,2.5,4.5,5.6,5.6,4.0,9.6,1.4,1.01,2.41,1.4,2.41
11,vs Liverpool,20,26.9,29.8,4,44,360,4.0,5,4,4,1,1,10,0,1.25,1.0,2.25,1.0,2.0,4.9,4.1,3.3,7.4,1.22,0.83,2.06,1.03,1.86
12,vs Manchester City,19,27.4,28.3,4,44,360,4.0,4,3,4,0,0,9,0,1.0,0.75,1.75,1.0,1.75,2.4,2.4,2.1,4.4,0.59,0.52,1.11,0.59,1.11
13,vs Manchester Utd,20,26.7,47.0,4,44,360,4.0,7,4,7,0,0,2,0,1.75,1.0,2.75,1.75,2.75,6.4,6.4,4.9,11.4,1.61,1.24,2.85,1.61,2.85
14,vs Newcastle Utd,19,27.2,49.5,4,44,360,4.0,4,4,4,0,0,9,0,1.0,1.0,2.0,1.0,2.0,4.9,4.9,3.6,8.6,1.24,0.91,2.14,1.24,2.14
15,vs Nott'ham Forest,21,27.6,53.0,4,44,360,4.0,5,4,5,0,2,5,0,1.25,1.0,2.25,1.25,2.25,8.7,7.3,5.7,13.0,2.17,1.42,3.59,1.82,3.25
16,vs Southampton,21,26.7,57.3,4,44,360,4.0,7,6,7,0,0,11,0,1.75,1.5,3.25,1.75,3.25,4.9,4.9,3.6,8.5,1.23,0.89,2.12,1.23,2.12
17,vs Tottenham,19,26.2,52.8,4,44,360,4.0,3,3,3,0,0,11,0,0.75,0.75,1.5,0.75,1.5,3.8,3.8,2.8,6.5,0.94,0.69,1.63,0.94,1.63
18,vs West Ham,19,26.9,56.8,4,44,360,4.0,5,2,3,2,2,7,0,1.25,0.5,1.75,0.75,1.25,5.8,4.3,3.0,7.2,1.46,0.74,2.2,1.07,1.81
19,vs Wolves,18,27.2,48.3,4,44,360,4.0,3,2,3,0,1,8,0,0.75,0.5,1.25,0.75,1.25,5.4,4.6,3.1,7.7,1.35,0.78,2.13,1.15,1.93
