,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,Arsenal,18,24.7,56.3,4,44,360,4.0,10,8,10,0,0,6,0,2.5,2.0,4.5,2.5,4.5,7.8,7.8,5.0,12.8,1.94,1.25,3.19,1.94,3.19
1,Aston Villa,18,26.8,57.8,4,44,360,4.0,3,3,3,0,0,10,0,0.75,0.75,1.5,0.75,1.5,4.1,4.1,3.4,7.5,1.02,0.86,1.88,1.02,1.88
2,Bournemouth,20,26.0,34.5,4,44,360,4.0,2,1,2,0,0,9,0,0.5,0.25,0.75,0.5,0.75,1.3,1.3,0.9,2.2,0.32,0.23,0.56,0.32,0.56
3,Brentford,21,26.2,48.0,4,44,360,4.0,9,7,9,0,0,4,0,2.25,1.75,4.0,2.25,4.0,6.5,6.5,4.6,11.1,1.62,1.16,2.78,1.62,2.78
4,Brighton,18,27.8,46.5,4,44,360,4.0,5,3,4,1,1,5,0,1.25,0.75,2.0,1.0,1.75,6.1,5.3,4.2,9.5,1.53,1.04,2.57,1.34,2.38
5,Chelsea,19,27.9,58.3,4,44,360,4.0,5,4,4,1,1,11,2,1.25,1.0,2.25,1.0,2.0,5.6,4.9,3.9,8.8,1.41,0.98,2.39,1.23,2.21
6,Crystal Palace,18,27.5,39.8,4,44,360,4.0,5,4,5,0,1,9,0,1.25,1.0,2.25,1.25,2.25,5.6,4.8,4.1,8.9,1.41,1.03,2.44,1.19,2.22
7,Everton,19,25.6,42.5,4,44,360,4.0,2,2,2,0,0,9,0,0.5,0.5,1.0,0.5,1.0,5.2,5.2,3.4,8.7,1.31,0.86,2.17,1.31,2.17
8,Fulham,20,27.8,36.5,4,44,360,4.0,6,3,5,1,2,11,0,1.5,0.75,2.25,1.25,2.0,5.5,3.9,2.2,6.1,1.37,0.55,1.93,0.98,1.54
9,Leeds United,18,25.5,48.5,4,44,360,4.0,6,5,6,0,0,8,0,1.5,1.25,2.75,1.5,2.75,6.0,6.0,2.9,8.9,1.5,0.72,2.22,1.5,2.22
10,Leicester City,17,27.5,55.3,4,44,360,4.0,5,4,5,0,0,5,0,1.25,1.0,2.25,1.25,2.25,3.2,3.2,2.7,5.9,0.8,0.69,1.49,0.8,1.49
11,Liverpool,20,28.0,70.3,4,44,360,4.0,12,8,12,0,0,3,1,3.0,2.0,5.0,3.0,5.0,8.6,8.6,6.0,14.6,2.14,1.51,3.65,2.14,3.65
12,Manchester City,19,27.7,71.8,4,44,360,4.0,12,11,11,1,1,4,0,3.0,2.75,5.75,2.75,5.5,9.1,8.3,6.2,14.5,2.27,1.54,3.81,2.07,3.61
13,Manchester Utd,20,27.0,53.0,4,44,360,4.0,3,3,3,0,0,14,0,0.75,0.75,1.5,0.75,1.5,5.2,5.2,4.0,9.3,1.31,1.01,2.32,1.31,2.32
14,Newcastle Utd,19,27.8,50.5,4,44,360,4.0,6,3,6,0,0,8,0,1.5,0.75,2.25,1.5,2.25,6.0,6.0,4.7,10.7,1.5,1.19,2.68,1.5,2.68
15,Nott'ham Forest,21,25.5,47.0,4,44,360,4.0,2,0,2,0,0,15,0,0.5,0.0,0.5,0.5,0.5,3.8,3.8,2.1,5.8,0.94,0.52,1.46,0.94,1.46
16,Southampton,21,24.4,42.8,4,44,360,4.0,5,5,5,0,0,4,0,1.25,1.25,2.5,1.25,2.5,3.9,3.9,3.2,7.1,0.97,0.8,1.76,0.97,1.76
17,Tottenham,19,27.7,47.3,4,44,360,4.0,8,8,8,0,1,6,0,2.0,2.0,4.0,2.0,4.0,6.9,6.1,5.3,11.4,1.72,1.33,3.05,1.52,2.85
18,West Ham,19,28.2,43.3,4,44,360,4.0,1,1,1,0,1,3,0,0.25,0.25,0.5,0.25,0.5,3.6,3.0,2.1,5.1,0.9,0.52,1.42,0.76,1.28
19,Wolves,18,25.9,51.8,4,44,360,4.0,2,2,2,0,0,7,0,0.5,0.5,1.0,0.5,1.0,3.5,3.5,3.0,6.6,0.89,0.76,1.64,0.89,1.64
