,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,vs Atalanta,32,38.0,774,467,442,260,72,283,668,42.4,385,6284,1877,29.9,2569,2624,1091,677,198,4,479,651,1425,687,2
1,vs Bologna,36,38.0,571,349,236,225,110,222,576,38.5,354,5860,1737,29.6,1746,2680,1434,569,122,1,447,492,1063,662,6
2,vs Cagliari,33,38.0,522,324,228,226,68,161,411,39.2,250,4765,1488,31.2,1506,2129,1130,573,137,3,436,509,1031,760,4
3,vs Empoli,28,38.0,689,410,338,241,110,234,494,47.4,260,5461,1619,29.6,1895,2210,1356,634,155,5,479,580,1269,751,12
4,vs Fiorentina,28,38.0,603,363,301,230,72,208,524,39.7,316,5889,1486,25.2,1820,2720,1349,571,128,1,443,577,1180,653,8
5,vs Genoa,40,38.0,690,413,299,302,89,234,552,42.4,318,5504,1858,33.8,1704,2528,1272,581,118,2,463,564,1254,793,7
6,vs Hellas Verona,31,38.0,719,451,347,290,82,240,559,42.9,319,5750,1865,32.4,1998,2623,1129,644,134,2,510,642,1361,628,7
7,vs Inter,27,38.0,516,331,264,183,69,169,433,39.0,264,5387,1411,26.2,1850,2197,1340,603,187,5,416,601,1117,757,7
8,vs Juventus,32,38.0,640,407,288,245,107,214,537,39.9,323,5436,1499,27.6,1663,2463,1310,520,127,1,393,540,1180,538,9
9,vs Lazio,27,38.0,626,381,302,240,84,267,617,43.3,350,5737,1550,27.0,1765,2576,1396,489,107,1,382,602,1228,596,8
10,vs Milan,28,38.0,674,423,352,244,78,277,754,36.7,477,5667,1700,30.0,2152,2446,1069,604,191,2,413,561,1235,793,13
11,vs Napoli,27,38.0,606,369,299,231,76,207,546,37.9,339,6107,1570,25.7,2066,2577,1464,584,170,1,414,645,1251,535,8
12,vs Roma,29,38.0,645,396,317,242,86,273,611,44.7,338,5156,1567,30.4,1757,2257,1142,607,180,2,427,560,1205,698,5
13,vs Salernitana,42,38.0,642,387,306,246,90,249,588,42.3,339,4951,1612,32.6,1613,2181,1157,589,130,5,459,417,1059,768,7
14,vs Sampdoria,34,38.0,521,325,211,208,102,174,425,40.9,251,5334,1756,32.9,1514,2374,1446,614,127,2,487,572,1093,675,14
15,vs Sassuolo,29,38.0,678,396,294,271,113,244,623,39.2,379,6182,1740,28.1,1999,2685,1498,601,175,2,426,553,1231,566,6
16,vs Spezia,30,38.0,673,430,293,274,106,214,499,42.9,285,5197,1740,33.5,1554,2267,1376,527,119,3,408,561,1234,594,7
17,vs Torino,31,38.0,547,329,286,201,60,195,486,40.1,291,5392,1553,28.8,1954,2343,1095,589,140,6,449,435,982,687,7
18,vs Udinese,29,38.0,733,444,355,265,113,285,678,42.0,393,5485,1714,31.2,1797,2339,1349,538,145,2,393,527,1260,587,7
19,vs Venezia,39,38.0,665,419,284,277,104,218,545,40.0,327,5261,1639,31.2,1453,2297,1511,507,90,2,417,549,1214,619,3
