,Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
0,vs Atalanta,3,38,38,3420,38.0,65,1.71,168,110,64.3,11,11,16,9,23.7,7,5,1,1,16.7
1,vs Bologna,3,38,38,3420,38.0,44,1.16,142,102,71.8,16,10,12,12,31.6,5,4,0,1,0.0
2,vs Cagliari,2,38,38,3419,38.0,34,0.89,112,79,72.3,20,12,6,14,36.8,4,3,1,0,25.0
3,vs Empoli,1,38,38,3420,38.0,50,1.32,153,113,71.9,17,11,10,9,23.7,7,7,0,0,0.0
4,vs Fiorentina,2,38,38,3420,38.0,59,1.55,175,125,71.4,14,5,19,7,18.4,12,9,2,1,18.2
5,vs Genoa,2,38,38,3420,38.0,27,0.71,107,86,80.4,18,16,4,20,52.6,7,6,1,0,14.3
6,vs Hellas Verona,3,38,38,3420,38.0,65,1.71,153,96,62.1,13,11,14,6,15.8,8,7,0,1,0.0
7,vs Inter,2,38,38,3420,38.0,84,2.21,238,161,67.6,4,9,25,3,7.9,11,7,2,2,22.2
8,vs Juventus,3,38,38,3420,38.0,57,1.5,168,115,69.0,8,10,20,5,13.2,6,5,0,1,0.0
9,vs Lazio,2,38,38,3420,38.0,77,2.03,185,115,62.2,10,10,18,6,15.8,9,7,2,0,22.2
10,vs Milan,2,38,38,3420,38.0,69,1.82,186,124,65.6,4,8,26,4,10.5,8,5,1,2,16.7
11,vs Napoli,3,38,38,3420,38.0,74,1.95,187,121,65.8,7,7,24,4,10.5,14,10,3,1,23.1
12,vs Roma,1,38,38,3418,38.0,59,1.55,179,125,70.9,11,9,18,7,18.4,9,7,2,0,22.2
13,vs Salernitana,3,38,38,3420,38.0,33,0.87,135,103,78.5,21,10,7,16,42.1,5,4,1,0,20.0
14,vs Sampdoria,3,38,38,3420,38.0,46,1.21,121,80,63.6,22,6,10,12,31.6,4,2,2,0,50.0
15,vs Sassuolo,3,38,38,3420,38.0,64,1.68,203,145,71.9,14,11,13,6,15.8,7,7,0,0,0.0
16,vs Spezia,3,38,38,3420,38.0,41,1.08,131,95,71.0,22,6,10,10,26.3,5,3,1,1,25.0
17,vs Torino,3,38,38,3420,38.0,46,1.21,139,98,71.2,14,11,13,12,31.6,6,6,0,0,0.0
18,vs Udinese,2,38,38,3420,38.0,61,1.61,184,126,68.5,13,14,11,9,23.7,4,3,1,0,25.0
19,vs Venezia,3,38,38,3420,38.0,34,0.89,112,81,72.3,23,9,6,13,34.2,5,3,2,0,40.0
