,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,vs Atalanta,32,38.0,94,1,1,550,529,69,317,651,467,4,6,3,3354,599,811,42.5
1,vs Bologna,36,38.0,83,4,2,573,459,86,492,492,349,8,5,1,3215,604,577,51.1
2,vs Cagliari,33,38.0,74,5,1,588,577,76,458,509,324,6,3,0,3388,863,875,49.7
3,vs Empoli,28,38.0,80,1,0,551,539,66,593,580,410,7,7,3,3073,667,515,56.4
4,vs Fiorentina,28,38.0,103,4,3,653,471,118,296,577,363,4,12,0,2529,564,590,48.9
5,vs Genoa,40,38.0,82,1,0,575,601,59,432,564,413,4,7,1,3679,886,749,54.2
6,vs Hellas Verona,31,38.0,74,3,0,497,577,32,428,642,451,3,7,2,3528,860,807,51.6
7,vs Inter,27,38.0,79,5,1,506,484,33,342,601,331,3,11,1,2505,579,659,46.8
8,vs Juventus,32,38.0,94,4,2,579,528,36,460,540,407,5,6,1,2735,516,602,46.2
9,vs Lazio,27,38.0,100,7,3,527,456,73,406,602,381,6,9,3,2748,499,487,50.6
10,vs Milan,28,38.0,91,6,2,597,495,63,334,561,423,3,6,3,2885,604,608,49.8
11,vs Napoli,27,38.0,101,9,5,576,456,60,359,645,369,0,13,0,2613,446,431,50.9
12,vs Roma,29,38.0,106,8,5,533,540,81,324,560,396,5,8,1,2873,512,571,47.3
13,vs Salernitana,42,38.0,98,8,4,604,512,63,524,417,387,6,4,1,3210,632,814,43.7
14,vs Sampdoria,34,38.0,82,2,2,573,536,64,502,572,325,1,4,4,3354,624,712,46.7
15,vs Sassuolo,29,38.0,83,6,5,578,484,142,518,553,396,6,7,4,2745,464,420,52.5
16,vs Spezia,30,38.0,85,2,2,507,549,62,462,561,430,8,5,3,3211,720,595,54.8
17,vs Torino,31,38.0,96,7,3,537,672,60,320,435,329,10,5,3,3405,984,916,51.8
18,vs Udinese,29,38.0,107,6,6,523,600,57,422,527,444,6,4,3,3193,612,548,52.8
19,vs Venezia,39,38.0,79,3,2,542,552,47,522,549,419,5,4,0,3318,732,680,51.8
