,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Atalanta,32,38.0,87,2,1,557,508,68,416,559,426,3,6,3,3565,811,599,57.5
1,Bologna,36,38.0,92,7,4,484,539,56,416,527,346,3,8,2,2947,577,604,48.9
2,Cagliari,33,38.0,96,5,3,605,549,70,444,620,365,3,10,1,3180,875,863,50.3
3,Empoli,28,38.0,87,5,3,557,520,83,478,544,425,6,9,6,2962,515,667,43.6
4,Fiorentina,28,38.0,89,8,6,495,637,57,521,480,334,8,4,2,2857,590,564,51.1
5,Genoa,40,38.0,92,3,2,633,547,71,396,657,489,4,5,2,3555,749,886,45.8
6,Hellas Verona,31,38.0,100,7,5,600,468,97,443,560,385,6,4,2,3532,807,860,48.4
7,Inter,27,38.0,71,0,0,513,480,57,568,462,402,7,4,1,3059,659,579,53.2
8,Juventus,32,38.0,77,2,1,563,554,74,404,508,380,5,6,1,2985,602,516,53.8
9,Lazio,27,38.0,88,5,3,477,506,44,415,495,348,6,6,1,2829,487,499,49.4
10,Milan,28,38.0,76,3,1,521,578,79,471,606,489,5,5,2,3097,608,604,50.2
11,Napoli,27,38.0,63,2,0,496,541,66,407,465,403,9,1,1,2749,431,446,49.1
12,Roma,29,38.0,111,8,6,561,517,60,430,567,431,5,5,2,2943,571,512,52.7
13,Salernitana,42,38.0,94,5,3,541,580,41,395,593,367,4,7,2,2993,814,632,56.3
14,Sampdoria,34,38.0,94,4,1,563,549,82,430,617,372,3,4,2,3105,712,624,53.3
15,Sassuolo,29,38.0,92,4,2,508,538,43,339,520,321,6,9,1,2847,420,464,47.5
16,Spezia,30,38.0,88,4,1,582,476,76,333,584,385,4,13,3,2937,595,720,45.2
17,Torino,31,38.0,89,3,2,705,516,84,446,587,306,4,10,0,3461,916,984,48.2
18,Udinese,29,38.0,95,6,3,629,494,78,371,570,455,4,7,1,3071,548,612,47.2
19,Venezia,39,38.0,110,9,2,579,520,61,388,617,385,5,10,2,2887,680,732,48.2
