,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,vs Atalanta,32,38.0,17479,15616,1863,556,32,2602,373,317,134,56,40,4,11234,2303,3942,4744,10582,683,737,249,13518,63,301,527,481
1,vs Bologna,36,38.0,17998,16335,1663,465,19,2511,601,492,166,63,69,12,12223,2244,3531,5373,10588,629,693,241,14424,80,294,504,413
2,vs Cagliari,33,38.0,19767,17872,1895,593,27,2615,488,458,195,61,84,4,13347,2499,3921,5703,11664,720,784,261,15843,67,325,592,441
3,vs Empoli,28,38.0,18531,16624,1907,559,23,2589,709,593,216,90,73,4,12414,2383,3734,5582,10810,640,746,286,15008,55,281,521,404
4,vs Fiorentina,28,38.0,15362,13649,1713,509,38,2314,318,296,127,40,50,15,10079,2044,3239,4132,9362,567,656,229,12094,110,265,460,355
5,vs Genoa,40,38.0,20238,18201,2037,607,24,3239,588,432,191,59,84,11,13255,2804,4179,6142,11454,817,890,267,16017,49,287,638,574
6,vs Hellas Verona,31,38.0,17012,14912,2100,631,12,2447,368,428,187,70,77,5,10211,2481,4320,4948,9517,742,850,263,12678,26,264,535,509
7,vs Inter,27,38.0,16711,15064,1647,502,16,2173,451,342,131,60,50,4,11596,2013,3102,4786,10135,564,561,267,13598,28,243,443,374
8,vs Juventus,32,38.0,18613,16756,1857,558,10,2448,511,460,197,78,74,6,13239,2172,3202,5413,11295,627,680,217,15181,32,258,486,439
9,vs Lazio,27,38.0,18672,17038,1634,463,15,2219,568,406,145,63,43,3,13039,2247,3386,5480,11321,582,654,267,15419,61,281,469,404
10,vs Milan,28,38.0,16330,14570,1760,530,17,2778,492,334,158,72,62,3,10768,2194,3368,4673,9705,630,646,251,12974,57,262,573,410
11,vs Napoli,27,38.0,16249,14607,1642,504,17,2382,382,359,144,59,64,4,11024,2042,3183,4863,9566,601,603,258,13091,55,269,436,376
12,vs Roma,29,38.0,17998,16220,1778,540,27,2608,469,324,133,51,63,3,12721,2159,3118,5304,10798,564,681,263,14588,76,293,541,394
13,vs Salernitana,42,38.0,21168,19479,1689,500,36,2585,699,524,233,80,98,16,15231,2469,3468,6262,12844,691,669,274,17593,52,304,560,418
14,vs Sampdoria,34,38.0,20000,18236,1764,551,26,2333,538,502,215,67,85,11,13907,2359,3734,5968,11860,762,681,251,16188,62,289,586,452
15,vs Sassuolo,29,38.0,16839,15119,1720,479,25,2347,479,518,196,72,84,7,11276,2196,3367,4898,10004,645,672,268,13450,133,263,497,426
16,vs Spezia,30,38.0,20708,18807,1901,542,27,2875,534,462,214,94,92,2,14412,2654,3642,5971,12457,639,829,281,17012,54,265,557,479
17,vs Torino,31,38.0,15761,13719,2042,690,20,2652,364,320,180,60,91,3,8995,2476,4290,4285,8864,792,803,237,11632,53,298,543,414
18,vs Udinese,29,38.0,20654,18847,1807,622,19,2696,535,422,203,67,101,1,14622,2488,3544,6245,12242,768,633,296,17020,50,289,547,468
19,vs Venezia,39,38.0,21162,19227,1935,535,17,2745,631,522,268,121,87,5,14739,2625,3798,6468,12351,708,818,282,17344,41,274,592,510
