,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,Atalanta,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,17,0.45,66.0,45.3,20.7,0.55
1,Bologna,36,26.6,38,3420,90,100,38.0,418,81,242,171,20,276,1.21,44,55,-11,-0.29,44.1,54.2,-10.1,-0.27
2,Cagliari,33,26.5,38,3420,90,100,38.0,418,82,259,157,21,252,0.79,34,68,-34,-0.89,39.6,61.4,-21.8,-0.57
3,Empoli,28,24.5,38,3420,90,100,38.0,418,80,236,178,23,271,1.08,50,70,-20,-0.53,46.6,67.8,-21.2,-0.56
4,Fiorentina,28,26.4,38,3420,90,100,38.0,418,81,235,179,21,275,1.63,59,51,8,0.21,58.8,44.1,14.7,0.39
5,Genoa,40,27.0,38,3420,90,100,38.0,418,78,241,179,27,268,0.74,27,60,-33,-0.87,37.8,51.6,-13.8,-0.36
6,Hellas Verona,31,26.8,38,3420,90,100,38.0,418,81,250,165,23,244,1.39,65,59,6,0.16,51.8,48.9,2.9,0.08
7,Inter,27,28.9,38,3420,90,100,38.0,418,81,232,186,19,264,2.21,84,32,52,1.37,81.4,39.2,42.2,1.11
8,Juventus,32,27.4,38,3420,90,100,38.0,418,81,257,161,23,223,1.84,57,37,20,0.53,51.5,38.0,13.4,0.35
9,Lazio,27,29.0,38,3420,90,100,38.0,418,82,258,155,21,288,1.68,77,58,19,0.5,55.8,48.3,7.6,0.2
10,Milan,28,25.6,38,3420,90,100,38.0,418,80,244,173,23,251,2.26,69,31,38,1.0,63.1,34.8,28.3,0.74
11,Napoli,27,27.9,38,3420,90,100,38.0,418,82,247,172,18,220,2.08,74,31,43,1.13,59.4,31.9,27.6,0.73
12,Roma,29,26.4,38,3420,90,100,38.0,418,83,262,151,19,298,1.66,59,43,16,0.42,63.7,38.5,25.2,0.66
13,Salernitana,42,27.7,38,3420,90,100,38.0,418,80,235,179,23,246,0.82,33,78,-45,-1.18,37.7,65.9,-28.2,-0.74
14,Sampdoria,34,29.0,38,3420,90,100,38.0,418,82,249,167,20,264,0.95,46,63,-17,-0.45,37.0,58.5,-21.5,-0.57
15,Sassuolo,29,26.1,38,3420,90,100,38.0,418,83,251,165,17,264,1.32,64,66,-2,-0.05,55.8,66.9,-11.0,-0.29
16,Spezia,30,24.4,38,3420,90,100,38.0,418,82,278,137,23,268,0.95,41,71,-30,-0.79,39.2,67.7,-28.5,-0.75
17,Torino,31,25.2,38,3420,90,100,38.0,418,81,253,163,22,284,1.32,46,41,5,0.13,48.8,39.7,9.1,0.24
18,Udinese,29,26.2,38,3420,90,100,38.0,418,82,259,155,21,269,1.24,61,58,3,0.08,53.1,52.0,1.0,0.03
19,Venezia,39,26.1,38,3420,90,100,38.0,418,79,229,183,24,264,0.71,34,69,-35,-0.92,36.0,72.4,-36.4,-0.96
