,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,vs Atalanta,32,44.9,38.0,22160,3229,8621,10163,4583,693,20359,318,614,51.8,355,45,13328,66022,32501,1128,381,144,516,439,16149,13518,83.7,1025
1,vs Bologna,36,49.3,38.0,22223,2274,6571,10524,6661,984,20609,288,533,54.0,324,22,14286,77617,42826,1795,668,201,494,386,16616,14424,86.8,1240
2,vs Cagliari,33,55.6,38.0,24082,2455,7711,11628,6264,1043,22222,290,511,56.8,327,34,15309,82020,43962,1682,537,176,475,421,18322,15843,86.5,1389
3,vs Empoli,28,52.9,38.0,23205,2680,7600,10038,7027,1266,21366,297,550,54.0,326,26,14643,81177,43089,1730,558,270,462,453,17147,15008,87.5,1345
4,vs Fiorentina,28,41.8,38.0,19305,3080,8008,8516,3794,644,17648,272,527,51.6,297,35,11888,56807,28741,983,318,126,441,326,14435,12094,83.8,867
5,vs Genoa,40,56.1,38.0,25011,2582,8237,11908,6406,1029,23041,351,724,48.5,388,30,15344,78079,40814,1579,554,170,503,470,18778,16017,85.3,1292
6,vs Hellas Verona,31,49.4,38.0,21508,2617,7160,10285,5296,862,19458,289,516,56.0,313,28,12394,67005,33636,1252,454,142,569,411,15376,12678,82.5,1124
7,vs Inter,27,43.4,38.0,20899,3035,8142,9469,4574,679,19304,283,517,54.7,310,32,12939,66264,34924,1298,456,119,431,414,15494,13598,87.8,962
8,vs Juventus,32,48.3,38.0,22609,2490,6921,10653,6508,801,20828,263,467,56.3,287,22,14351,75030,40730,1803,618,159,467,418,17303,15181,87.7,1148
9,vs Lazio,27,44.4,38.0,22683,3015,8928,10095,4958,863,21124,348,599,58.1,380,26,15045,72642,37013,1263,405,153,420,382,17529,15414,87.9,1031
10,vs Milan,28,45.8,38.0,20835,2850,7759,9587,4898,698,19142,300,569,52.7,326,26,12705,68710,35352,1270,439,99,513,515,15327,12974,84.6,1101
11,vs Napoli,27,41.5,38.0,20284,2758,7533,9214,4837,725,18701,326,630,51.7,369,31,12966,67959,34791,1262,446,129,431,356,15043,13091,87.0,1052
12,vs Roma,29,48.6,38.0,22379,2831,7966,10860,5021,651,20647,294,579,50.8,329,31,13939,74264,40144,1488,453,110,504,436,16929,14588,86.2,1088
13,vs Salernitana,42,59.0,38.0,25482,2498,7918,12119,7151,1100,23827,289,530,54.5,320,37,16820,91524,50665,1972,631,193,444,388,19938,17593,88.2,1412
14,vs Sampdoria,34,54.1,38.0,24304,2489,7826,11544,6525,1076,22597,305,567,53.8,334,37,15824,81860,43864,1791,594,224,486,398,18726,16188,86.4,1274
15,vs Sassuolo,29,44.8,38.0,20945,2601,7353,9326,5602,1102,19277,272,499,54.5,293,34,13045,72178,39985,1503,442,209,420,322,15826,13450,85.0,1199
16,vs Spezia,30,57.3,38.0,25038,2375,7557,12325,6765,1156,23190,300,577,52.0,334,30,16706,90919,47915,1820,514,207,454,408,19395,17012,87.7,1437
17,vs Torino,31,46.4,38.0,19919,2544,7382,9051,4592,708,17934,202,406,49.8,215,16,11245,60716,30336,1036,362,119,557,394,14227,11632,81.8,972
18,vs Udinese,29,57.7,38.0,25040,2506,7980,13033,5573,917,23312,345,652,52.9,383,31,16344,80800,43255,1555,420,144,456,420,19371,17020,87.9,1360
19,vs Venezia,39,57.9,38.0,25521,2241,7285,12250,7658,1297,23630,314,578,54.3,347,29,17103,87546,46995,1970,654,186,481,418,19810,17344,87.6,1507
