,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,vs Atalanta,32,38.0,45,387,134,34.6,10.18,3.53,0.1,0.3,17.8,18,5,6,45.3,40.7,0.11,-0.3,-0.7
1,vs Bologna,36,38.0,53,535,176,32.9,14.08,4.63,0.08,0.26,17.6,21,8,9,54.2,47.3,0.09,-1.2,-2.3
2,vs Cagliari,33,38.0,67,553,182,32.9,14.55,4.79,0.11,0.33,17.3,20,7,10,61.4,53.8,0.1,5.6,6.2
3,vs Empoli,28,38.0,64,662,209,31.6,17.42,5.5,0.09,0.28,16.0,14,5,10,67.8,60.4,0.09,-3.8,-1.4
4,vs Fiorentina,28,38.0,49,352,118,33.5,9.26,3.11,0.13,0.39,16.1,7,3,5,44.1,40.5,0.12,4.9,5.5
5,vs Genoa,40,38.0,58,536,178,33.2,14.11,4.68,0.1,0.3,16.8,21,4,5,51.6,47.8,0.09,6.4,6.2
6,vs Hellas Verona,31,38.0,57,474,156,32.9,12.47,4.11,0.11,0.35,17.0,20,3,4,48.9,45.7,0.1,8.1,8.3
7,vs Inter,27,38.0,31,400,124,31.0,10.53,3.26,0.07,0.22,16.9,13,4,4,39.2,36.2,0.09,-8.2,-9.2
8,vs Juventus,32,38.0,36,443,118,26.6,11.66,3.11,0.07,0.27,18.5,14,4,7,38.0,32.7,0.08,-2.0,-0.7
9,vs Lazio,27,38.0,57,470,143,30.4,12.37,3.76,0.11,0.36,16.8,12,5,6,48.3,43.7,0.09,8.7,8.3
10,vs Milan,28,38.0,29,402,122,30.3,10.58,3.21,0.06,0.2,17.5,9,4,5,34.8,31.1,0.08,-5.8,-6.1
11,vs Napoli,27,38.0,30,418,134,32.1,11.0,3.53,0.07,0.22,17.5,16,1,1,31.9,31.2,0.08,-1.9,-2.2
12,vs Roma,29,38.0,41,372,141,37.9,9.79,3.71,0.1,0.26,17.7,16,5,6,38.5,34.0,0.09,2.5,2.0
13,vs Salernitana,42,38.0,76,584,212,36.3,15.37,5.58,0.12,0.33,16.4,25,6,8,65.9,59.9,0.1,10.1,10.1
14,vs Sampdoria,34,38.0,61,553,184,33.3,14.55,4.84,0.1,0.32,16.2,16,3,4,58.5,55.5,0.1,2.5,2.5
15,vs Sassuolo,29,38.0,65,523,165,31.5,13.76,4.34,0.11,0.35,15.2,13,8,9,66.9,60.0,0.12,-1.9,-3.0
16,vs Spezia,30,38.0,68,633,195,30.8,16.66,5.13,0.09,0.3,17.2,23,10,13,67.7,58.1,0.09,0.3,-0.1
17,vs Torino,31,38.0,41,387,115,29.7,10.18,3.03,0.08,0.28,17.8,17,9,11,39.7,31.4,0.08,1.3,0.6
18,vs Udinese,29,38.0,57,464,155,33.4,12.21,4.08,0.11,0.34,16.6,13,5,7,52.0,47.1,0.1,5.0,4.9
19,vs Venezia,39,38.0,67,670,216,32.2,17.63,5.68,0.08,0.26,16.6,31,11,12,72.4,64.4,0.1,-5.4,-8.4
