,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,32,38.0,62,597,168,28.1,15.71,4.42,0.1,0.34,15.8,15,5,6,66.0,61.6,0.1,-4.0,-4.6
1,Bologna,36,38.0,43,442,142,32.1,11.63,3.74,0.09,0.27,17.3,14,4,5,44.1,40.4,0.09,-1.1,-1.4
2,Cagliari,33,38.0,34,419,112,26.7,11.03,2.95,0.07,0.28,16.3,17,3,4,39.6,37.0,0.09,-5.6,-6.0
3,Empoli,28,38.0,47,495,153,30.9,13.03,4.03,0.08,0.26,17.7,16,7,7,46.6,41.3,0.08,0.4,-1.3
4,Fiorentina,28,38.0,59,502,175,34.9,13.21,4.61,0.1,0.29,16.5,25,9,12,58.8,49.8,0.1,0.2,0.2
5,Genoa,40,38.0,26,402,107,26.6,10.58,2.82,0.05,0.19,18.0,12,6,7,37.8,32.5,0.08,-11.8,-12.5
6,Hellas Verona,31,38.0,63,456,153,33.6,12.0,4.03,0.12,0.37,16.2,15,7,8,51.8,45.9,0.1,11.2,10.1
7,Inter,27,38.0,83,670,238,35.5,17.63,6.26,0.11,0.32,15.1,13,7,11,81.4,73.5,0.11,1.6,2.5
8,Juventus,32,38.0,56,522,168,32.2,13.74,4.42,0.1,0.3,16.8,19,5,6,51.5,46.9,0.09,4.5,4.1
9,Lazio,27,38.0,74,448,185,41.3,11.79,4.87,0.15,0.36,16.5,13,7,9,55.8,49.1,0.11,18.2,17.9
10,Milan,28,38.0,66,593,186,31.4,15.61,4.89,0.1,0.33,17.7,20,5,8,63.1,57.6,0.1,2.9,3.4
11,Napoli,27,38.0,74,567,187,33.0,14.92,4.92,0.11,0.34,17.5,25,10,14,59.4,48.7,0.09,14.6,15.3
12,Roma,29,38.0,58,596,179,30.0,15.68,4.71,0.09,0.28,16.3,20,7,9,63.7,57.0,0.1,-5.7,-6.0
13,Salernitana,42,38.0,32,431,134,31.1,11.34,3.53,0.06,0.21,17.2,18,4,5,37.7,34.0,0.08,-5.7,-6.0
14,Sampdoria,34,38.0,42,388,121,31.2,10.21,3.18,0.1,0.33,17.5,11,2,4,37.0,33.8,0.09,5.0,6.2
15,Sassuolo,29,38.0,60,568,203,35.7,14.95,5.34,0.09,0.26,18.0,14,7,7,55.8,50.5,0.09,4.2,2.5
16,Spezia,30,38.0,38,388,131,33.8,10.21,3.45,0.09,0.27,18.2,17,3,5,39.2,35.4,0.09,-1.2,-0.4
17,Torino,31,38.0,43,473,139,29.4,12.45,3.66,0.08,0.27,16.3,14,6,6,48.8,44.3,0.1,-5.8,-7.3
18,Udinese,29,38.0,58,507,184,36.3,13.34,4.84,0.11,0.3,16.9,19,3,4,53.1,50.1,0.1,4.9,4.9
19,Venezia,39,38.0,34,354,112,31.6,9.32,2.95,0.09,0.28,17.5,22,3,5,36.0,32.1,0.09,-2.0,-1.1
