,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,vs Atalanta,1,3.0,4,0,0,0,0,2.9,0.24,-1.1,-0.37,21,42,50.0,101,16,36.6,39.1,16,31.3,35.2,21,1,4.8,2,0.67,15.2
1,vs Bologna,1,3.0,2,1,0,0,0,2.3,0.21,0.3,0.11,20,51,39.2,92,11,46.7,43.6,16,50.0,46.7,19,1,5.3,3,1.01,15.7
2,vs Cremonese,1,3.0,3,0,0,1,0,1.9,0.15,-1.1,-0.37,31,66,47.0,91,15,52.7,43.7,27,66.7,56.3,40,0,0.0,1,0.33,13.0
3,vs Empoli,1,3.0,1,0,0,0,0,0.9,0.09,-0.1,-0.03,12,27,44.4,52,8,40.4,38.0,8,75.0,55.8,19,2,10.5,1,0.33,15.8
4,vs Fiorentina,1,3.0,3,0,0,0,0,4.4,0.27,1.4,0.46,22,63,34.9,107,11,44.9,40.7,21,71.4,56.0,33,1,3.0,1,0.33,13.9
5,vs Hellas Verona,1,3.0,3,0,0,1,0,2.6,0.32,-0.4,-0.14,31,61,50.8,76,12,63.2,43.8,19,68.4,47.5,27,3,11.1,3,1.0,15.0
6,vs Inter,1,3.0,6,0,0,1,0,7.8,0.33,1.8,0.61,15,40,37.5,85,20,31.8,35.2,20,65.0,50.5,38,3,7.9,1,0.33,13.0
7,vs Juventus,2,3.0,4,1,1,0,0,3.3,0.24,-0.7,-0.23,14,30,46.7,62,12,29.0,31.9,30,40.0,35.7,34,0,0.0,1,0.33,15.3
8,vs Lazio,2,3.0,5,0,0,0,1,3.5,0.22,-1.5,-0.49,19,46,41.3,122,18,34.4,35.2,11,36.4,42.1,15,3,20.0,3,1.0,14.6
9,vs Lecce,1,3.0,2,0,0,0,0,1.6,0.16,-0.4,-0.14,16,21,76.2,71,8,26.8,31.6,15,13.3,22.5,15,0,0.0,0,0.0,8.2
10,vs Milan,1,3.0,7,1,0,0,0,6.1,0.32,-0.9,-0.29,21,41,51.2,77,29,39.0,35.6,31,35.5,32.6,24,2,8.3,2,0.67,13.3
11,vs Monza,1,3.0,2,0,0,0,0,3.0,0.3,1.0,0.32,8,37,21.6,74,9,35.1,37.8,18,61.1,56.2,20,1,5.0,2,0.67,15.8
12,vs Napoli,1,3.0,9,0,0,2,0,7.7,0.51,-1.3,-0.45,21,50,42.0,91,9,46.2,41.4,21,38.1,40.0,19,1,5.3,2,0.67,14.4
13,vs Roma,1,3.0,3,0,0,2,0,6.1,0.34,3.1,1.03,12,25,48.0,67,17,29.9,35.5,18,27.8,36.4,13,0,0.0,4,1.33,15.5
14,vs Salernitana,1,3.0,4,0,0,0,0,4.2,0.3,0.2,0.06,16,37,43.2,61,10,44.3,40.1,21,47.6,45.9,27,3,11.1,1,0.33,15.8
15,vs Sampdoria,1,3.0,0,0,0,0,0,1.3,0.2,1.3,0.44,15,44,34.1,82,19,39.0,36.8,25,48.0,43.6,22,1,4.5,1,0.33,14.7
16,vs Sassuolo,1,3.0,3,0,0,1,0,3.6,0.2,0.6,0.19,14,48,29.2,107,29,31.8,30.9,20,70.0,51.0,32,1,3.1,4,1.33,14.8
17,vs Spezia,1,3.0,3,1,0,0,0,1.4,0.18,-1.6,-0.52,9,26,34.6,104,13,20.2,31.0,17,29.4,32.4,21,4,19.0,2,0.67,18.6
18,vs Torino,1,3.0,4,0,0,0,0,4.9,0.41,0.9,0.31,17,54,31.5,134,15,35.1,36.8,14,50.0,42.2,21,1,4.8,1,0.33,13.4
19,vs Udinese,1,3.0,4,0,0,1,0,2.7,0.27,-1.3,-0.45,18,27,66.7,67,14,32.8,34.6,17,29.4,28.8,13,2,15.4,0,0.0,10.6
