,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Atalanta,1,3.0,1,0,0,0,0,1.0,0.11,0.0,0.0,32,65,49.2,91,28,48.4,39.2,28,75.0,54.4,28,2,7.1,1,0.33,15.3
1,Bologna,1,3.0,5,0,0,0,1,4.1,0.24,-0.9,-0.31,27,52,51.9,91,17,49.5,40.2,22,31.8,26.5,26,3,11.5,3,1.0,12.5
2,Cremonese,1,4.0,9,0,0,1,0,11.7,0.38,2.7,0.68,15,58,25.9,95,17,49.5,45.3,28,39.3,40.1,37,0,0.0,2,0.5,12.7
3,Empoli,1,3.0,2,0,0,0,0,1.9,0.23,-0.1,-0.05,13,55,23.6,130,17,34.6,35.9,19,52.6,45.8,48,6,12.5,2,0.67,16.2
4,Fiorentina,1,3.0,2,0,0,1,0,2.1,0.26,0.1,0.04,23,50,46.0,117,17,36.8,36.8,11,63.6,50.5,24,2,8.3,2,0.67,12.5
5,Hellas Verona,1,3.0,7,0,0,1,0,6.3,0.32,-0.7,-0.22,28,53,52.8,64,4,73.4,54.1,29,20.7,29.8,26,1,3.8,3,1.0,17.2
6,Inter,1,4.0,5,0,0,0,0,4.1,0.3,-0.9,-0.22,21,30,70.0,140,21,17.9,28.1,20,25.0,28.6,24,1,4.2,1,0.25,13.7
7,Juventus,2,3.0,1,0,0,1,0,2.3,0.19,1.3,0.44,8,20,40.0,76,19,23.7,28.3,14,14.3,28.2,18,0,0.0,5,1.67,15.2
8,Lazio,2,3.0,2,1,0,0,0,2.9,0.2,0.9,0.31,25,48,52.1,92,12,39.1,38.5,18,66.7,52.5,24,0,0.0,1,0.34,13.2
9,Lecce,1,3.0,4,0,0,2,0,3.2,0.22,-0.8,-0.25,13,44,29.5,71,24,36.6,35.7,20,90.0,59.0,27,3,11.1,1,0.33,13.7
10,Milan,1,4.0,3,0,0,1,0,3.1,0.28,0.1,0.03,19,43,44.2,138,19,27.5,35.0,10,50.0,46.0,21,4,19.0,3,0.75,17.0
11,Monza,1,4.0,11,0,0,2,0,10.1,0.46,-0.9,-0.22,21,44,47.7,146,25,26.7,32.0,19,26.3,30.1,15,1,6.7,2,0.5,14.4
12,Napoli,1,3.0,2,0,0,1,0,2.3,0.25,0.3,0.09,19,28,67.9,82,14,28.0,29.9,14,35.7,30.1,16,1,6.3,1,0.33,16.6
13,Roma,1,4.0,1,0,1,0,0,0.9,0.1,-0.1,-0.02,21,40,52.5,68,14,36.8,35.9,45,33.3,34.5,54,1,1.9,0,0.0,10.4
14,Salernitana,1,3.0,1,0,0,0,0,2.5,0.25,1.5,0.5,13,35,37.1,72,15,34.7,37.4,28,35.7,39.5,11,0,0.0,1,0.33,13.5
15,Sampdoria,1,3.0,6,0,0,0,0,5.7,0.44,-0.3,-0.11,16,40,40.0,97,17,33.0,36.0,15,53.3,43.3,26,3,11.5,2,0.67,16.8
16,Sassuolo,1,4.0,5,2,0,0,0,3.7,0.28,-1.3,-0.31,29,54,53.7,125,15,33.6,35.0,32,37.5,32.2,33,1,3.0,1,0.25,12.8
17,Spezia,1,3.0,5,0,0,0,0,6.5,0.32,1.5,0.51,16,49,32.7,96,17,36.5,35.7,20,70.0,56.0,39,3,7.7,3,1.0,14.7
18,Torino,1,3.0,2,0,0,0,0,2.1,0.18,0.1,0.04,21,86,24.4,128,14,50.8,44.4,21,100.0,81.8,25,2,8.0,4,1.33,15.4
19,Udinese,1,3.0,5,1,0,0,0,5.2,0.3,0.2,0.08,16,36,44.4,52,13,46.2,40.4,27,44.4,42.6,27,1,3.7,0,0.0,11.5
