,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
0,Atalanta,19,3.0,46,30,26,18,2,26,58,44.8,32,335,111,33.1,113,172,50,54,10,0,44,43,89,69,0
1,Bologna,19,3.0,41,19,23,14,4,16,41,39.0,25,324,87,26.9,109,136,79,44,14,0,30,31,72,55,1
2,Cremonese,22,4.0,85,48,39,36,10,30,68,44.1,38,542,149,27.5,176,228,138,81,29,1,52,42,127,80,1
3,Empoli,19,3.0,54,34,26,25,3,14,43,32.6,29,334,102,30.5,113,150,71,46,16,0,30,27,81,69,0
4,Fiorentina,22,3.0,53,33,18,26,9,18,36,50.0,18,343,122,35.6,92,153,98,36,14,0,22,37,90,25,0
5,Hellas Verona,22,3.0,53,34,22,22,9,19,46,41.3,27,364,113,31.0,103,173,88,51,14,0,37,32,85,59,0
6,Inter,20,4.0,64,42,26,24,14,22,44,50.0,22,421,149,35.4,116,180,125,42,7,0,35,41,105,46,0
7,Juventus,21,3.0,42,23,16,21,5,20,38,52.6,18,299,79,26.4,108,127,64,36,11,0,25,33,75,47,0
8,Lazio,18,3.0,47,28,17,22,8,12,34,35.3,22,299,78,26.1,91,121,87,38,6,0,32,23,70,47,0
9,Lecce,18,3.0,45,24,23,16,6,12,28,42.9,16,486,125,25.7,156,221,109,64,12,0,52,47,92,59,1
10,Milan,22,4.0,63,36,27,27,9,27,46,58.7,19,515,157,30.5,117,246,152,49,8,0,41,50,113,43,0
11,Monza,25,4.0,63,37,27,28,8,29,62,46.8,33,469,130,27.7,162,213,94,61,25,1,36,54,117,44,0
12,Napoli,19,3.0,42,26,17,18,7,13,33,39.4,20,315,101,32.1,73,133,109,28,0,0,28,35,77,37,0
13,Roma,19,4.0,71,39,39,22,10,24,51,47.1,27,433,92,21.2,169,185,79,63,16,0,47,52,123,84,0
14,Salernitana,20,3.0,43,24,24,13,6,9,38,23.7,29,302,81,26.8,115,126,61,48,21,1,27,45,88,40,0
15,Sampdoria,20,3.0,51,36,23,25,3,12,30,40.0,18,322,102,31.7,90,162,70,31,6,0,25,49,100,27,1
16,Sassuolo,20,4.0,38,23,15,14,9,15,47,31.9,32,472,133,28.2,116,223,133,51,9,0,42,46,84,63,0
17,Spezia,18,3.0,57,32,30,23,4,24,47,51.1,23,395,131,33.2,160,157,78,42,12,0,30,44,101,58,1
18,Torino,21,3.0,31,20,13,13,5,6,20,30.0,14,388,130,33.5,102,173,113,43,11,0,32,44,75,53,1
19,Udinese,20,3.0,54,37,30,19,5,22,45,48.9,23,354,98,27.7,133,140,81,48,10,0,38,34,88,48,2
