,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,vs Atalanta,19,3.0,68,22.67,50,4,2,2,7,3,2,0.67,1,0,0,1,0,0
1,vs Bologna,19,3.0,74,24.67,54,10,2,6,0,2,6,2.0,6,0,0,0,0,0
2,vs Cremonese,22,4.0,144,36.0,96,16,10,17,5,0,17,4.25,11,1,3,2,0,0
3,vs Empoli,19,3.0,69,23.0,51,5,5,4,1,3,4,1.33,4,0,0,0,0,0
4,vs Fiorentina,22,3.0,49,16.33,31,4,3,4,5,2,3,1.0,2,0,0,1,0,0
5,vs Hellas Verona,22,3.0,87,29.0,63,11,3,3,5,2,13,4.33,12,1,0,0,0,0
6,vs Inter,20,4.0,59,14.75,44,5,2,4,2,2,10,2.5,10,0,0,0,0,0
7,vs Juventus,21,3.0,51,17.0,40,5,1,2,2,1,2,0.67,1,1,0,0,0,0
8,vs Lazio,18,3.0,61,20.33,43,6,1,5,2,4,3,1.0,1,0,0,0,1,1
9,vs Lecce,18,3.0,58,19.33,45,3,0,5,4,1,4,1.33,2,0,0,1,0,1
10,vs Milan,22,4.0,64,16.0,53,5,1,2,3,0,5,1.25,3,1,0,1,0,0
11,vs Monza,25,4.0,105,26.25,71,12,9,8,4,1,19,4.75,13,2,1,3,0,0
12,vs Napoli,19,3.0,29,9.67,23,3,0,2,0,1,2,0.67,1,0,0,1,0,0
13,vs Roma,19,4.0,84,21.0,66,7,1,3,7,0,1,0.25,0,0,0,0,1,0
14,vs Salernitana,20,3.0,75,25.0,50,6,3,10,3,3,1,0.33,0,0,0,1,0,0
15,vs Sampdoria,20,3.0,41,13.67,27,5,1,2,4,2,10,3.33,10,0,0,0,0,0
16,vs Sassuolo,20,4.0,57,14.25,43,3,2,1,5,3,6,1.5,4,0,0,0,2,0
17,vs Spezia,18,3.0,91,30.33,66,8,4,4,4,5,10,3.33,8,0,2,0,0,0
18,vs Torino,21,3.0,55,18.33,38,5,3,3,4,2,2,0.67,2,0,0,0,0,0
19,vs Udinese,20,3.0,63,21.0,45,5,2,5,4,2,8,2.67,5,0,0,1,1,1
