,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
0,Atalanta,19,3.0,63,21.0,46,5,2,5,3,2,8,2.67,7,0,0,1,0,0
1,Bologna,19,3.0,53,17.67,41,3,2,1,5,1,4,1.33,2,0,0,0,1,1
2,Cremonese,21,3.0,60,20.0,37,6,3,5,7,2,5,1.67,4,0,0,1,0,0
3,Empoli,19,3.0,37,12.33,26,2,3,2,2,2,0,0.0,0,0,0,0,0,0
4,Fiorentina,22,3.0,91,30.33,63,10,4,8,4,2,6,2.0,5,0,1,0,0,0
5,Hellas Verona,22,3.0,47,15.67,33,7,0,4,0,3,4,1.33,3,0,0,1,0,0
6,Inter,18,3.0,87,29.0,62,9,2,8,3,3,10,3.33,7,0,2,1,0,0
7,Juventus,21,3.0,56,18.67,43,3,3,1,4,2,6,2.0,4,0,0,0,2,0
8,Lazio,18,3.0,47,15.67,39,4,2,2,0,0,8,2.67,8,0,0,0,0,0
9,Lecce,18,3.0,27,9.0,18,2,2,1,3,1,2,0.67,2,0,0,0,0,0
10,Milan,21,3.0,87,29.0,61,8,4,5,7,2,10,3.33,6,0,0,2,1,1
11,Monza,24,3.0,48,16.0,42,2,0,1,1,2,2,0.67,2,0,0,0,0,0
12,Napoli,19,3.0,98,32.67,70,13,5,5,4,1,17,5.67,13,2,1,1,0,0
13,Roma,18,3.0,82,27.33,52,12,4,11,2,1,5,1.67,1,2,0,2,0,0
14,Salernitana,20,3.0,57,19.0,35,7,1,6,7,1,6,2.0,6,0,0,0,0,0
15,Sampdoria,20,3.0,60,20.0,42,3,2,5,5,3,0,0.0,0,0,0,0,0,0
16,Sassuolo,18,3.0,80,26.67,66,5,0,3,3,3,4,1.33,4,0,0,0,0,0
17,Spezia,18,3.0,28,9.33,23,1,0,1,2,1,3,1.0,2,0,0,0,1,0
18,Torino,21,3.0,59,19.67,44,4,6,4,0,1,7,2.33,5,0,1,1,0,0
19,Udinese,20,3.0,57,19.0,38,6,4,4,4,1,7,2.33,6,1,0,0,0,0
