,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
0,1,Roma,2,2,0,0,4,0,4,6,3.0,5.8,1.3,4.5,2.23,2,1,1,0,2,1,1,4,2.0,3.3,1.1,2.2,1.08
1,2,Inter,2,2,0,0,6,1,5,6,3.0,4.8,1.6,3.2,1.61,2,1,0,1,3,4,-1,3,1.5,4.1,1.4,2.7,1.37
2,3,Milan,2,2,0,0,6,2,4,6,3.0,4.5,0.9,3.6,1.81,2,0,2,0,1,1,0,2,1.0,1.6,1.6,0.0,-0.02
3,4,Napoli,1,1,0,0,4,0,4,3,3.0,2.8,0.1,2.6,2.64,2,1,1,0,5,2,3,4,2.0,3.4,1.7,1.8,0.89
4,5,Lazio,2,2,0,0,5,2,3,6,3.0,1.5,3.4,-2.0,-0.98,1,0,1,0,0,0,0,1,1.0,0.8,0.8,0.0,0.01
5,6,Atalanta,1,0,1,0,1,1,0,1,1.0,0.5,1.0,-0.5,-0.54,2,2,0,0,3,0,3,6,3.0,2.9,1.1,1.9,0.93
6,7,Torino,1,0,1,0,0,0,0,1,1.0,0.8,0.8,0.0,-0.01,2,2,0,0,4,2,2,6,3.0,5.0,2.5,2.5,1.23
7,8,Juventus,2,1,1,0,4,1,3,4,2.0,2.4,1.9,0.5,0.23,1,0,1,0,0,0,0,1,1.0,0.8,1.0,-0.2,-0.15
8,9,Fiorentina,2,1,1,0,3,2,1,4,2.0,2.3,2.2,0.2,0.08,1,0,1,0,0,0,0,1,1.0,1.1,0.8,0.3,0.33
9,10,Sassuolo,2,1,1,0,1,0,1,4,2.0,1.8,1.0,0.7,0.37,2,0,1,1,2,5,-3,1,0.5,4.0,3.0,1.1,0.54
10,11,Salernitana,2,1,0,1,4,1,3,3,1.5,2.3,4.1,-1.9,-0.93,1,0,1,0,0,0,0,1,1.0,1.3,1.1,0.2,0.17
11,12,Udinese,1,0,1,0,0,0,0,1,1.0,1.1,1.3,-0.2,-0.17,2,1,0,1,4,5,-1,3,1.5,2.2,3.4,-1.2,-0.62
12,13,Spezia,2,1,1,0,3,2,1,4,2.0,1.9,4.3,-2.4,-1.19,1,0,0,1,0,3,-3,0,0.0,0.5,2.5,-2.0,-2.04
13,14,Empoli,1,0,1,0,0,0,0,1,1.0,0.8,1.1,-0.3,-0.33,2,0,1,1,1,2,-1,1,0.5,1.7,1.5,0.2,0.08
14,15,Lecce,2,0,1,1,2,3,-1,1,0.5,1.3,2.8,-1.5,-0.76,1,0,0,1,0,1,-1,0,0.0,0.5,0.7,-0.2,-0.17
15,16,Bologna,1,0,1,0,1,1,0,1,1.0,1.0,1.8,-0.8,-0.75,2,0,0,2,1,4,-3,0,0.0,2.1,3.0,-0.8,-0.42
16,17,Hellas Verona,2,0,0,2,2,6,-4,0,0.0,1.7,3.3,-1.6,-0.79,1,0,1,0,1,1,0,1,1.0,1.8,1.0,0.8,0.75
17,18,Sampdoria,2,0,1,1,0,2,-2,1,0.5,1.6,2.7,-1.2,-0.59,1,0,0,1,0,4,-4,0,0.0,1.7,1.8,0.0,-0.05
18,19,Cremonese,1,0,0,1,1,2,-1,0,0.0,0.8,2.3,-1.5,-1.47,3,0,0,3,3,7,-4,0,0.0,2.7,7.5,-4.9,-1.62
19,20,Monza,2,0,0,2,2,4,-2,0,0.0,3.0,4.3,-1.3,-0.67,2,0,0,2,0,7,-7,0,0.0,1.0,5.3,-4.3,-2.14
