,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Napoli,3,2,1,0,9,2,7,7,2.33,6.2,1.8,4.4,1.47,W W D,,Khvicha Kvaratskhelia - 3,Alex Meret,
1,2,Milan,3,2,1,0,7,3,4,7,2.33,5.5,1.4,4.2,1.39,W D W,,Ante Rebić - 2,Mike Maignan,
2,3,Lazio,3,2,1,0,5,2,3,7,2.33,2.3,4.2,-1.9,-0.65,W D W,,"Felipe Anderson, Ciro Immobile... - 1",Ivan Provedel,
3,4,Atalanta,3,2,1,0,4,1,3,7,2.33,3.4,2.1,1.3,0.44,W D W,,"Rafael Tolói, Teun Koopmeiners... - 1",Juan Musso,
4,5,Torino,3,2,1,0,4,2,2,7,2.33,5.8,3.3,2.4,0.81,W D W,,"Antonio Sanabria, Nemanja Radonjić... - 1",Vanja Milinković-Savić,
5,6,Roma,3,2,1,0,3,1,2,7,2.33,6.6,1.7,5.0,1.66,W W D,,"Bryan Cristante, Chris Smalling... - 1",Rui Patrício,
6,7,Inter,3,2,0,1,6,4,2,6,2.0,6.6,1.9,4.8,1.59,W W L,,Lautaro Martínez - 2,Samir Handanović,
7,8,Juventus,3,1,2,0,4,1,3,5,1.67,3.2,2.9,0.3,0.1,W D D,,Dušan Vlahović - 3,Mattia Perin,
8,9,Fiorentina,3,1,2,0,3,2,1,5,1.67,3.4,3.0,0.5,0.16,W D D,,"Giacomo Bonaventura, Luka Jović... - 1",Pierluigi Gollini,
9,10,Salernitana,3,1,1,1,4,1,3,4,1.33,3.6,5.3,-1.7,-0.56,L D W,,"Federico Bonazzoli, Tonny Vilhena... - 1",Luigi Sepe,
10,11,Udinese,3,1,1,1,4,5,-1,4,1.33,3.3,4.7,-1.4,-0.47,L D W,,"Adam Masina, Beto... - 1",Marco Silvestri,
11,12,Spezia,3,1,1,1,3,5,-2,4,1.33,2.4,6.8,-4.4,-1.48,W L D,,M'Bala Nzola - 2,Bartłomiej Drągowski,
12,13,Sassuolo,3,1,1,1,3,5,-2,4,1.33,4.7,3.4,1.3,0.42,L W D,,"Andrea Pinamonti, Domenico Berardi... - 1",Andrea Consigli,
13,14,Empoli,3,0,2,1,1,2,-1,2,0.67,2.1,1.8,0.3,0.13,L D D,,Fabiano Parisi - 1,Guglielmo Vicario,
14,15,Lecce,3,0,1,2,2,4,-2,1,0.33,1.0,3.1,-2.1,-1.07,L L D,,"Gabriel Strefezza, Assan Ceesay - 1",Wladimiro Falcone,
15,16,Bologna,3,0,1,2,2,5,-3,1,0.33,3.2,4.8,-1.6,-0.53,L D L,,Marko Arnautović - 2,Łukasz Skorupski,
16,17,Hellas Verona,3,0,1,2,3,7,-4,1,0.33,3.5,4.3,-0.8,-0.28,L D L,,Thomas Henry - 2,Lorenzo Montipò,
17,18,Sampdoria,3,0,1,2,0,6,-6,1,0.33,3.3,4.5,-1.2,-0.41,L D L,,,Emil Audero,
18,19,Cremonese,3,0,0,3,3,6,-3,0,0.0,2.4,7.5,-5.2,-1.72,L L L,,"Matteo Bianchetti, Leonardo Sernicola... - 1",Ionuț Radu,
19,20,Monza,3,0,0,3,2,8,-6,0,0.0,3.1,7.1,-4.0,-1.32,L L L,,"Andrea Colpani, Dany Mota - 1",Michele Di Gregorio,
