,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
0,Atalanta,19,3.0,1219,1068,151,40,0,183,45,28,12,4,3,2,762,156,301,308,729,55,56,37,924,2,27,44,27
1,Bologna,19,3.0,1381,1240,141,43,0,175,44,27,12,4,4,1,933,179,269,363,846,65,55,28,1119,5,22,33,30
2,Cremonese,21,3.0,1100,974,126,36,0,161,31,48,13,6,5,0,661,129,310,233,678,74,47,19,783,3,25,40,36
3,Empoli,19,3.0,901,800,101,28,0,129,23,39,5,2,2,0,620,109,172,276,516,33,45,14,710,2,15,37,18
4,Fiorentina,22,3.0,1672,1538,134,47,0,178,93,50,22,9,9,0,1198,164,310,545,965,52,49,24,1423,3,22,25,28
5,Hellas Verona,22,3.0,1061,926,135,26,1,158,27,36,19,4,12,1,591,146,324,291,593,71,46,12,736,5,30,36,36
6,Inter,18,3.0,1793,1657,136,36,2,155,52,52,22,9,11,0,1325,197,271,531,1117,39,53,23,1543,9,19,38,38
7,Juventus,21,3.0,1452,1347,105,19,0,135,56,41,11,5,4,0,1094,147,211,404,903,40,49,26,1228,7,24,34,27
8,Lazio,18,3.0,1321,1192,129,45,3,152,35,25,9,3,6,0,949,143,229,290,890,46,41,20,1079,3,18,30,23
9,Lecce,18,3.0,692,602,90,33,2,94,28,44,10,6,2,0,420,84,188,141,448,26,28,28,519,6,22,19,18
10,Milan,21,3.0,1577,1432,145,36,7,92,38,34,16,0,15,0,1200,141,236,627,820,28,62,18,1326,4,19,26,40
11,Monza,24,3.0,1451,1311,140,47,1,191,46,28,9,1,5,0,1097,154,200,444,851,40,52,39,1216,4,23,34,31
12,Napoli,19,3.0,1531,1397,134,39,2,120,38,30,21,13,6,0,1133,169,229,423,966,46,54,19,1315,0,15,34,35
13,Roma,18,3.0,1287,1135,152,48,2,144,45,26,12,4,8,0,916,131,240,351,795,36,57,13,1051,5,20,25,30
14,Salernitana,20,3.0,1362,1235,127,35,4,164,61,35,16,1,10,0,960,139,263,398,831,37,44,21,1095,3,32,39,31
15,Sampdoria,20,3.0,1456,1299,157,56,1,148,44,25,9,3,4,1,1033,155,268,343,941,43,63,28,1192,5,26,44,31
16,Sassuolo,18,3.0,1720,1550,170,46,0,208,56,47,13,7,1,1,1267,203,250,635,925,46,75,13,1455,3,27,43,34
17,Spezia,18,3.0,1312,1160,152,36,2,154,26,23,12,3,8,0,884,148,280,583,577,46,65,21,1028,7,30,39,35
18,Torino,21,3.0,1324,1195,129,29,1,156,42,37,16,7,6,0,878,139,307,307,840,58,56,17,1036,8,26,28,29
19,Udinese,20,3.0,1212,1053,159,46,1,156,43,23,12,9,2,0,812,161,239,343,705,53,65,21,955,4,28,51,28
