,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,vs Atalanta,19,3.0,1181,1491,79.2,24037,8624,415,479,86.6,532,617,86.2,205,334,61.4,1,1.7,-0.7,34,97,30,7,121
1,vs Bologna,19,3.0,907,1183,76.7,18722,6879,346,399,86.7,378,462,81.8,164,273,60.1,4,4.1,-0.1,37,73,25,3,77
2,vs Cremonese,21,3.0,1158,1439,80.5,26446,9255,366,429,85.3,504,576,87.5,278,391,71.1,5,5.8,-0.8,51,89,37,11,122
3,vs Empoli,19,3.0,756,942,80.3,16324,5292,243,282,86.2,337,386,87.3,158,239,66.1,2,1.4,0.6,20,68,16,6,57
4,vs Fiorentina,22,3.0,827,1070,77.3,15291,5999,337,381,88.5,364,428,85.0,92,201,45.8,1,1.9,-0.9,20,45,17,5,57
5,vs Hellas Verona,22,3.0,983,1277,77.0,19813,8037,377,441,85.5,416,489,85.1,159,281,56.6,7,3.9,3.1,44,62,26,8,76
6,vs Inter,18,3.0,1047,1270,82.4,20148,6906,437,482,90.7,429,475,90.3,162,267,60.7,4,1.3,2.7,19,64,19,5,67
7,vs Juventus,21,3.0,1194,1409,84.7,24006,6909,449,491,91.4,558,621,89.9,179,270,66.3,1,2.3,-1.3,25,93,17,4,77
8,vs Lazio,18,3.0,1379,1612,85.5,28385,8019,464,510,91.0,693,745,93.0,205,310,66.1,1,2.7,-1.7,29,107,26,8,93
9,vs Lecce,18,3.0,1032,1223,84.4,20122,6539,408,457,89.3,458,510,89.8,149,209,71.3,2,1.9,0.1,19,74,23,6,76
10,vs Milan,21,3.0,1019,1264,80.6,20178,7726,410,457,89.7,413,493,83.8,163,257,63.4,3,1.3,1.7,26,61,16,5,67
11,vs Monza,24,3.0,1128,1358,83.1,21844,7055,493,539,91.5,437,504,86.7,177,270,65.6,8,5.7,2.3,41,85,25,3,86
12,vs Napoli,19,3.0,979,1230,79.6,19491,5976,393,440,89.3,432,499,86.6,145,255,56.9,1,0.9,0.1,15,73,15,2,68
13,vs Roma,18,3.0,1223,1495,81.8,24633,8430,468,524,89.3,545,624,87.3,196,301,65.1,0,1.0,-1.0,24,100,24,6,116
14,vs Salernitana,20,3.0,1125,1399,80.4,22890,7717,399,463,86.2,518,592,87.5,181,287,63.1,0,3.0,-3.0,32,56,32,3,103
15,vs Sampdoria,20,3.0,1050,1294,81.1,21774,6388,345,399,86.5,527,573,92.0,167,292,57.2,5,3.3,1.7,21,69,25,7,84
16,vs Sassuolo,18,3.0,997,1260,79.1,20018,6637,348,395,88.1,476,547,87.0,147,268,54.9,2,1.3,0.7,19,53,18,9,70
17,vs Spezia,18,3.0,1428,1724,82.8,30515,9569,447,519,86.1,693,780,88.8,265,379,69.9,4,5.6,-1.6,44,109,40,15,121
18,vs Torino,21,3.0,1047,1374,76.2,21142,8194,403,471,85.6,431,515,83.7,180,318,56.6,0,1.8,-1.8,26,67,19,7,89
19,vs Udinese,20,3.0,1273,1510,84.3,25470,8284,495,547,90.5,544,597,91.1,206,299,68.9,3,2.4,0.6,26,108,29,6,106
