,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Atalanta,19,3.0,924,1219,75.8,18966,7467,342,398,85.9,419,488,85.9,144,290,49.7,4,3.2,0.8,31,50,25,6,67
1,Bologna,19,3.0,1119,1381,81.0,22641,7948,415,467,88.9,500,566,88.3,176,286,61.5,1,1.8,-0.8,23,73,14,5,69
2,Cremonese,22,4.0,1138,1547,73.6,22635,9337,446,525,85.0,489,598,81.8,182,357,51.0,2,2.0,0.0,31,105,31,11,135
3,Empoli,19,3.0,1126,1426,79.0,21712,7448,419,493,85.0,522,598,87.3,156,277,56.3,0,2.1,-2.1,22,69,18,5,90
4,Fiorentina,22,3.0,1423,1672,85.1,32022,8945,421,466,90.3,648,718,90.3,335,443,75.6,3,2.7,0.3,43,104,34,11,111
5,Hellas Verona,22,3.0,736,1061,69.4,16259,6613,255,321,79.4,321,411,78.1,150,286,52.4,2,2.2,-0.2,27,78,20,5,85
6,Inter,20,4.0,1985,2314,85.8,40420,12759,733,816,89.8,893,982,90.9,332,455,73.0,7,6.1,0.9,55,142,48,14,137
7,Juventus,21,3.0,1228,1452,84.6,25101,6894,412,464,88.8,611,675,90.5,188,276,68.1,2,1.4,0.6,24,71,17,5,93
8,Lazio,18,3.0,1079,1321,81.7,20377,7052,490,537,91.2,397,464,85.6,164,265,61.9,4,1.9,2.1,23,64,18,2,64
9,Lecce,18,3.0,783,1071,73.1,16619,6156,278,328,84.8,348,428,81.3,145,281,51.6,2,1.4,0.6,23,61,20,9,64
10,Milan,22,4.0,1725,2082,82.9,34640,11218,623,696,89.5,777,860,90.3,285,444,64.2,5,4.1,0.9,49,138,45,6,165
11,Monza,25,4.0,1786,2084,85.7,34400,11491,751,821,91.5,775,855,90.6,240,353,68.0,1,2.7,-1.7,33,126,34,11,128
12,Napoli,19,3.0,1315,1531,85.9,24434,8318,577,625,92.3,531,599,88.6,170,239,71.1,9,5.7,3.3,50,87,29,8,87
13,Roma,19,4.0,1407,1708,82.4,28036,10146,552,616,89.6,628,707,88.8,211,333,63.4,4,6.5,-2.5,51,94,32,3,115
14,Salernitana,20,3.0,1095,1362,80.4,22740,7828,383,446,85.9,495,548,90.3,196,316,62.0,3,1.8,1.2,23,103,30,8,115
15,Sampdoria,20,3.0,1192,1456,81.9,23768,8022,457,521,87.7,523,600,87.2,193,296,65.2,0,2.1,-2.1,25,77,27,5,93
16,Sassuolo,20,4.0,1665,2018,82.5,34610,11026,583,663,87.9,774,875,88.5,283,414,68.4,2,4.2,-2.2,44,130,43,17,135
17,Spezia,18,3.0,1028,1312,78.4,19984,6938,383,437,87.6,464,535,86.7,152,279,54.5,1,1.0,0.0,12,62,14,5,72
18,Torino,21,3.0,1036,1324,78.2,21385,6808,378,419,90.2,473,544,86.9,163,302,54.0,3,4.0,-1.0,29,78,21,6,82
19,Udinese,20,3.0,955,1212,78.8,19241,7224,379,442,85.7,390,469,83.2,160,248,64.5,4,2.8,1.2,28,52,28,3,84
