,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
0,vs Atalanta,19,26.8,3,270,90,100,3.0,33,81,19,14,20,23,0.33,,,,,2.1,3.4,-1.3,-0.44
1,vs Bologna,19,26.8,3,270,90,100,3.0,33,80,18,13,22,24,2.33,,,,,4.8,3.2,1.6,0.53
2,vs Cremonese,22,27.4,4,360,90,100,4.0,44,78,23,20,24,34,3.0,,,,,9.8,3.5,6.3,1.58
3,vs Empoli,19,25.5,3,270,90,100,3.0,33,80,19,13,23,25,1.67,,,,,2.6,2.4,0.2,0.06
4,vs Fiorentina,22,26.2,3,270,90,100,3.0,33,81,18,15,19,25,0.67,,,,,3.0,3.4,-0.5,-0.16
5,vs Hellas Verona,22,27.4,3,270,90,100,3.0,33,83,21,12,20,22,2.33,,,,,4.3,3.5,0.8,0.28
6,vs Inter,20,26.5,4,360,90,100,4.0,44,81,24,20,20,34,0.75,,,,,3.0,8.9,-6.0,-1.49
7,vs Juventus,21,28.0,3,270,90,100,3.0,33,81,19,14,20,20,0.67,,,,,2.9,3.2,-0.3,-0.1
8,vs Lazio,18,27.7,3,270,90,100,3.0,33,77,17,15,22,24,0.33,,,,,4.2,2.3,1.9,0.65
9,vs Lecce,18,26.8,3,270,90,100,3.0,33,80,18,15,23,22,2.33,,,,,3.5,1.8,1.7,0.56
10,vs Milan,22,27.2,4,360,90,100,4.0,44,80,24,20,22,30,0.5,,,,,2.5,6.1,-3.6,-0.9
11,vs Monza,25,26.9,4,360,90,100,4.0,44,79,24,20,25,30,3.0,,,,,9.6,3.9,5.6,1.4
12,vs Napoli,19,26.7,3,270,90,100,3.0,33,82,18,15,17,25,0.33,,,,,1.8,6.2,-4.4,-1.47
13,vs Roma,19,27.4,4,360,90,100,4.0,44,81,27,17,23,33,0.25,,,,,2.5,9.1,-6.6,-1.65
14,vs Salernitana,20,28.0,3,270,90,100,3.0,33,81,21,12,26,28,1.33,,,,,5.3,3.6,1.7,0.56
15,vs Sampdoria,20,27.9,3,270,90,100,3.0,33,80,18,15,22,19,2.33,,,,,4.5,3.3,1.2,0.41
16,vs Sassuolo,20,26.3,4,360,90,100,4.0,44,81,27,17,23,27,1.25,,,,,4.0,5.8,-1.8,-0.46
17,vs Spezia,18,26.9,3,270,90,100,3.0,33,82,18,15,17,25,1.33,,,,,6.8,2.4,4.4,1.48
18,vs Torino,21,27.2,3,270,90,100,3.0,33,84,21,12,18,27,0.33,,,,,3.3,5.8,-2.4,-0.81
19,vs Udinese,20,27.4,3,270,90,100,3.0,33,79,18,14,23,25,1.33,,,,,4.7,3.3,1.4,0.47
