,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
0,Atalanta,19,45.7,3.0,1561,238,651,664,337,54,1415,19,36,52.8,20,2,904,5000,2456,86,43,8,32,29,1114,924,82.9,67
1,Bologna,19,54.7,3.0,1724,245,667,790,351,41,1581,17,40,42.5,18,2,1052,5241,2452,88,23,7,48,31,1296,1119,86.3,69
2,Cremonese,22,44.0,4.0,2016,280,693,926,522,80,1840,18,36,50.0,18,1,1096,5647,3268,132,48,7,46,39,1353,1138,84.1,135
3,Empoli,19,52.0,3.0,1764,260,713,755,402,38,1610,17,38,44.7,18,2,1155,6163,3129,100,34,9,38,37,1247,1126,90.3,90
4,Fiorentina,22,62.3,3.0,1998,204,628,952,583,99,1877,15,29,51.7,18,1,1435,8608,4729,175,68,23,47,45,1498,1423,95.0,111
5,Hellas Verona,22,43.7,3.0,1391,191,442,637,381,57,1257,12,33,36.4,15,4,716,4491,2355,94,27,5,41,23,927,736,79.4,85
6,Inter,20,57.5,4.0,2713,282,959,1220,709,143,2530,18,40,45.0,20,0,1875,9684,5091,157,47,18,43,46,2181,1985,91.0,137
7,Juventus,21,50.7,3.0,1728,216,645,837,370,52,1624,18,28,64.3,18,0,1263,6546,3815,110,44,11,31,24,1348,1228,91.1,93
8,Lazio,18,45.3,3.0,1606,226,632,705,351,57,1483,21,30,70.0,21,0,1001,4908,2542,93,27,14,35,30,1201,1079,89.8,64
9,Lecce,18,37.0,3.0,1403,211,526,612,349,53,1273,18,33,54.5,20,1,830,4912,2687,94,33,10,28,18,935,783,83.7,64
10,Milan,22,57.3,4.0,2483,220,738,1306,631,95,2280,43,73,58.9,48,2,1750,10311,5834,218,66,19,54,31,1918,1725,89.9,165
11,Monza,25,54.3,4.0,2493,275,879,1198,586,77,2329,26,63,41.3,32,4,1700,9096,4645,175,53,8,43,42,1958,1786,91.2,128
12,Napoli,19,57.0,3.0,1863,186,588,928,475,100,1733,27,55,49.1,29,3,1336,6407,3303,123,48,23,37,43,1438,1327,92.3,91
13,Roma,19,44.8,4.0,2180,305,837,988,492,126,1990,33,70,47.1,38,5,1277,7888,4502,163,57,29,41,39,1625,1407,86.6,115
14,Salernitana,20,50.0,3.0,1666,200,534,824,426,51,1540,16,27,59.3,16,1,1064,5822,3306,114,36,4,32,43,1225,1095,89.4,115
15,Sampdoria,20,52.3,3.0,1742,189,586,826,421,59,1595,22,43,51.2,24,5,1187,5397,2698,83,27,4,46,25,1323,1192,90.1,93
16,Sassuolo,20,53.3,4.0,2405,268,769,1118,684,94,2194,23,38,60.5,26,3,1593,9013,4910,196,70,15,54,34,1824,1665,91.3,135
17,Spezia,18,43.0,3.0,1667,255,747,675,346,48,1523,26,44,59.1,30,1,1021,5454,2581,88,30,6,52,34,1198,1028,85.8,72
18,Torino,21,49.0,3.0,1653,253,600,759,408,77,1528,29,55,52.7,29,1,1046,6503,3128,123,39,24,50,32,1221,1036,84.8,82
19,Udinese,20,44.0,3.0,1548,184,574,698,397,83,1397,26,45,57.8,27,6,924,5249,2987,110,37,15,45,29,1091,955,87.5,84
