,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
0,vs Atalanta,19,26.8,54.3,3,33,270,3.0,1,1,1,0,0,10,0,0.33,0.33,0.67,0.33,0.67,2.1,2.1,1.7,3.8,0.7,0.57,1.27,0.7,1.27
1,vs Bologna,19,26.8,45.3,3,33,270,3.0,4,4,4,0,0,7,1,1.33,1.33,2.67,1.33,2.67,4.8,4.8,4.1,8.9,1.59,1.37,2.95,1.59,2.95
2,vs Cremonese,22,27.4,56.0,4,44,360,4.0,9,7,9,0,0,3,0,2.25,1.75,4.0,2.25,4.0,9.8,9.8,7.2,17.0,2.45,1.81,4.26,2.45,4.26
3,vs Empoli,19,25.5,48.0,3,33,270,3.0,2,2,2,0,0,6,0,0.67,0.67,1.33,0.67,1.33,2.6,2.6,2.1,4.7,0.87,0.7,1.57,0.87,1.57
4,vs Fiorentina,22,26.2,37.7,3,33,270,3.0,2,1,2,0,0,7,2,0.67,0.33,1.0,0.67,1.0,3.0,3.0,1.9,4.9,0.98,0.64,1.63,0.98,1.63
5,vs Hellas Verona,22,27.4,56.3,3,33,270,3.0,7,7,7,0,0,8,1,2.33,2.33,4.67,2.33,4.67,4.3,4.3,3.9,8.3,1.45,1.3,2.75,1.45,2.75
6,vs Inter,20,26.5,42.5,4,44,360,4.0,5,5,5,0,0,9,0,1.25,1.25,2.5,1.25,2.5,3.0,3.0,2.1,5.1,0.75,0.53,1.28,0.75,1.28
7,vs Juventus,21,28.0,49.3,3,33,270,3.0,1,1,1,0,0,8,0,0.33,0.33,0.67,0.33,0.67,2.9,2.9,2.3,5.2,0.96,0.76,1.72,0.96,1.72
8,vs Lazio,18,27.7,54.7,3,33,270,3.0,2,1,1,1,1,7,1,0.67,0.33,1.0,0.33,0.67,4.2,3.4,2.7,6.2,1.41,0.91,2.32,1.15,2.06
9,vs Lecce,18,26.8,63.0,3,33,270,3.0,4,2,4,0,0,9,0,1.33,0.67,2.0,1.33,2.0,3.5,3.5,2.1,5.6,1.17,0.7,1.87,1.17,1.87
10,vs Milan,22,27.2,42.8,4,44,360,4.0,3,3,3,0,1,14,0,0.75,0.75,1.5,0.75,1.5,2.5,1.7,1.6,3.3,0.62,0.4,1.02,0.43,0.83
11,vs Monza,25,26.9,45.8,4,44,360,4.0,11,10,11,0,0,6,0,2.75,2.5,5.25,2.75,5.25,9.6,9.6,7.6,17.2,2.39,1.91,4.3,2.39,4.3
12,vs Napoli,19,26.7,43.0,3,33,270,3.0,2,1,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0,1.8,1.8,0.9,2.7,0.6,0.29,0.89,0.6,0.89
13,vs Roma,19,27.4,55.3,4,44,360,4.0,1,0,1,0,0,11,0,0.25,0.0,0.25,0.25,0.25,2.5,2.5,1.7,4.2,0.62,0.43,1.05,0.62,1.05
14,vs Salernitana,20,28.0,50.0,3,33,270,3.0,1,0,1,0,0,6,1,0.33,0.0,0.33,0.33,0.33,5.3,5.3,3.0,8.3,1.76,1.02,2.77,1.76,2.77
15,vs Sampdoria,20,27.9,47.7,3,33,270,3.0,6,5,6,0,0,10,0,2.0,1.67,3.67,2.0,3.67,4.5,4.5,3.3,7.8,1.5,1.1,2.6,1.5,2.6
16,vs Sassuolo,20,26.3,46.8,4,44,360,4.0,5,2,3,2,2,6,1,1.25,0.5,1.75,0.75,1.25,4.0,2.4,1.6,4.0,1.0,0.4,1.4,0.61,1.01
17,vs Spezia,18,26.9,57.0,3,33,270,3.0,5,4,5,0,0,2,0,1.67,1.33,3.0,1.67,3.0,6.8,6.8,5.6,12.5,2.28,1.87,4.15,2.28,4.15
18,vs Torino,21,27.2,51.0,3,33,270,3.0,2,0,2,0,0,6,0,0.67,0.0,0.67,0.67,0.67,3.3,3.3,1.8,5.1,1.11,0.6,1.71,1.11,1.71
19,vs Udinese,20,27.4,56.0,3,33,270,3.0,5,3,4,1,1,8,0,1.67,1.0,2.67,1.33,2.33,4.7,4.0,2.4,6.4,1.57,0.8,2.38,1.32,2.12
