,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
0,Bryan Cristante,it ITA,MF,27-181,4,4,360.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25,0.3,0.3,0.1,0.4,0.08,0.02,0.1,0.08,0.1
1,Roger Ibanez,br BRA,DF,23-281,4,4,360.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11
2,Rui Patrício,pt POR,GK,34-197,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Lorenzo Pellegrini,it ITA,MF,26-073,4,4,348.0,3.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.52,1.1,1.1,1.2,2.2,0.28,0.3,0.58,0.28,0.58
4,Tammy Abraham,eng ENG,FW,24-333,4,4,326.0,3.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.28,0.55,0.28,0.55,3.0,3.0,0.7,3.6,0.82,0.18,1.01,0.82,1.01
5,Gianluca Mancini,it ITA,DF,26-136,4,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06
6,Paulo Dybala,ar ARG,"MF,FW",28-289,4,4,299.0,3.3,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.6,0.3,0.9,0.6,0.9,2.1,2.1,1.9,4.0,0.63,0.57,1.19,0.63,1.19
7,Chris Smalling,eng ENG,DF,32-282,4,3,333.0,3.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27,0.0,0.27,0.27,0.27,0.2,0.2,0.0,0.3,0.07,0.01,0.08,0.07,0.08
8,Rick Karsdorp,nl NED,DF,27-201,3,3,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.05,0.14,0.19,0.05,0.19
9,Leonardo Spinazzola,it ITA,DF,29-159,4,3,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.07,0.2,0.27,0.07,0.27
10,Nemanja Matić,rs SRB,MF,34-030,4,2,222.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.01,0.08,0.08,0.01,0.08
11,Nicolò Zaniolo,it ITA,MF,23-060,2,2,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.1,0.63,0.18,0.81,0.63,0.81
12,Nicola Zalewski,pl POL,DF,20-220,3,1,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05
13,Zeki Çelik,tr TUR,DF,25-195,3,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,0.04,0.54,0.58,0.04,0.58
14,Marash Kumbulla,al ALB,DF,22-204,2,1,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Stephan El Shaarawy,it ITA,"MF,FW",29-308,4,0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.38,0.27,0.65,0.38,0.65
16,Georginio Wijnaldum,nl NED,MF,31-293,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.62,0.57,1.18,0.62,1.18
17,Edoardo Bove,it ITA,MF,20-107,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.45,0.0,0.45,0.45,0.45
18,Andrea Belotti,it ITA,FW,28-254,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.06,0.0,2.06,2.06,2.06
19,Felix Afena-Gyan,gh GHA,FW,19-224,0,0,,,,,,,,,,,,,,,,,,,,,,,
20,Pietro Boer,it ITA,GK,20-111,0,0,,,,,,,,,,,,,,,,,,,,,,,
21,Giacomo Faticanti,it ITA,MF,18-031,0,0,,,,,,,,,,,,,,,,,,,,,,,
22,Eldor Shomurodov,uz UZB,FW,27-063,0,0,,,,,,,,,,,,,,,,,,,,,,,
23,Mile Svilar,rs SRB,GK,23-004,0,0,,,,,,,,,,,,,,,,,,,,,,,
24,Filippo Tripi,it ITA,MF,20-237,0,0,,,,,,,,,,,,,,,,,,,,,,,
25,Matías Viña,uy URU,DF,24-295,0,0,,,,,,,,,,,,,,,,,,,,,,,
26,Samir Handanović,si SVN,GK,38-048,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Stefan de Vrij,nl NED,DF,30-207,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.1,0.0,0.1,0.1,0.1
28,Milan Škriniar,sk SVK,DF,27-201,4,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.09,0.02,0.11,0.09,0.11
29,Nicolò Barella,it ITA,MF,25-205,4,4,346.0,3.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.26,0.52,0.26,0.52,0.3,0.3,0.6,0.9,0.07,0.16,0.23,0.07,0.23
30,Marcelo Brozović,hr CRO,MF,29-288,4,4,300.0,3.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.04,0.1,0.06,0.1
31,Federico Dimarco,it ITA,DF,24-294,4,4,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.07,0.27,0.33,0.07,0.33
32,Lautaro Martínez,ar ARG,FW,25-009,4,3,290.0,3.2,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.93,0.31,1.24,0.93,1.24,2.1,2.1,0.5,2.6,0.65,0.16,0.81,0.65,0.81
33,Denzel Dumfries,nl NED,DF,26-135,4,3,260.0,2.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.35,0.35,0.69,0.35,0.69,1.3,1.3,1.2,2.5,0.45,0.43,0.88,0.45,0.88
34,Hakan Çalhanoğlu,tr TUR,MF,28-204,4,3,244.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.74,0.37,0.74,0.3,0.3,0.6,0.8,0.1,0.21,0.31,0.1,0.31
35,Romelu Lukaku,be BEL,FW,29-110,3,3,225.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.4,0.8,1.2,1.2,0.1,1.3,0.48,0.06,0.53,0.48,0.53
36,Alessandro Bastoni,it ITA,DF,23-140,3,2,214.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.09,0.15,0.24,0.09,0.24
37,Matteo Darmian,it ITA,DF,32-272,3,2,166.0,1.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.54,0.54,0.0,0.54,0.0,0.0,0.9,0.9,0.0,0.51,0.51,0.0,0.51
38,Edin Džeko,ba BIH,FW,36-167,4,1,159.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,1.0,1.0,0.7,1.7,0.57,0.39,0.96,0.57,0.96
39,Robin Gosens,de GER,DF,28-057,4,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Roberto Gagliardini,it ITA,MF,28-146,2,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.19,0.0,0.19,0.19,0.19
41,Joaquín Correa,ar ARG,"FW,MF",28-018,4,1,88.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,2.05,2.05,1.5,1.5,0.0,1.5,1.57,0.0,1.57,1.57,1.57
42,Henrikh Mkhitaryan,am ARM,MF,33-222,1,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Kristjan Asllani,al ALB,MF,20-175,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Danilo D'Ambrosio,it ITA,DF,33-356,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Raoul Bellanova,it ITA,DF,22-106,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Lucien Agoume,fr FRA,MF,20-203,0,0,,,,,,,,,,,,,,,,,,,,,,,
47,Alex Cordaz,it ITA,GK,39-242,0,0,,,,,,,,,,,,,,,,,,,,,,,
48,Alessandro Fontanarosa,it ITA,DF,19-205,0,0,,,,,,,,,,,,,,,,,,,,,,,
49,André Onana,cm CMR,GK,26-151,0,0,,,,,,,,,,,,,,,,,,,,,,,
50,Eddie Salcedo,it ITA,FW,20-334,0,0,,,,,,,,,,,,,,,,,,,,,,,
51,Mattia Zanotti,it ITA,DF,19-232,0,0,,,,,,,,,,,,,,,,,,,,,,,
52,Mike Maignan,fr FRA,GK,27-059,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Fikayo Tomori,eng ENG,DF,24-255,4,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
54,Theo Hernández,fr FRA,DF,24-329,4,4,344.0,3.8,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.26,0.0,0.26,0.0,0.0,1.0,0.2,0.3,0.5,0.27,0.07,0.34,0.07,0.13
55,Ismaël Bennacer,dz ALG,MF,24-273,4,4,330.0,3.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,0.1,0.1,0.6,0.7,0.02,0.17,0.2,0.02,0.2
56,Rafael Leão,pt POR,FW,23-082,4,4,328.0,3.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.27,0.27,0.55,0.27,0.55,1.1,1.1,0.6,1.7,0.3,0.17,0.47,0.3,0.47
57,Pierre Kalulu,fr FRA,DF,22-087,4,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.29,0.0,0.29,0.29,0.29
58,Davide Calabria,it ITA,DF,25-268,3,3,263.0,2.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34,0.34,0.0,0.34,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19
59,Junior Messias,br BRA,FW,31-110,4,3,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.14,0.03,0.17,0.14,0.17
60,Brahim Díaz,es ESP,MF,23-028,3,3,183.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49,0.49,0.98,0.49,0.98,0.6,0.6,0.4,1.0,0.3,0.17,0.48,0.3,0.48
61,Olivier Giroud,fr FRA,FW,35-335,4,2,215.0,2.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,0.7,0.7,0.2,0.9,0.29,0.08,0.37,0.29,0.37
62,Sandro Tonali,it ITA,MF,22-115,3,2,214.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.09,0.09,0.18,0.09,0.18
63,Ante Rebić,hr CRO,FW,28-344,2,2,127.0,1.4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.42,0.0,1.42,1.42,1.42,0.5,0.5,0.0,0.5,0.33,0.03,0.36,0.33,0.36
64,Charles De Ketelaere,be BEL,"MF,FW",21-174,4,1,147.0,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.61,0.1,0.1,1.1,1.2,0.05,0.69,0.73,0.05,0.73
65,Alexis Saelemaekers,be BEL,FW,23-065,4,1,131.0,1.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.69,0.69,0.0,0.69,0.1,0.1,0.1,0.2,0.09,0.04,0.13,0.09,0.13
66,Alessandro Florenzi,it ITA,DF,31-173,2,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
67,Tommaso Pobega,it ITA,MF,23-047,3,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.0,0.08,0.08,0.08
68,Rade Krunić,ba BIH,MF,28-328,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
